Evgenia RADANOVA POSITION,Evgenia RADANOVA LAP TIME,Evgenia RADANOVA ELAPSED TIME,KANG Yun-Mi POSITION,KANG Yun-Mi LAP TIME,KANG Yun-Mi ELAPSED TIME,FU Tian Yu POSITION,FU Tian Yu LAP TIME,FU Tian Yu ELAPSED TIME,Elizaveta IVLJEVA POSITION,Elizaveta IVLJEVA LAP TIME,Elizaveta IVLJEVA ELAPSED TIME,Elena PRIBYSH POSITION,Elena PRIBYSH LAP TIME,Elena PRIBYSH ELAPSED TIME
3,8.908,8.908,1,8.442,8.442,5,9.330,9.330,4,8.999,8.999,2,8.597,8.597
3,12.011,20.919,1,11.825,20.267,5,11.684,21.013,4,11.953,20.952,2,11.880,20.476
5,11.751,32.669,4,12.112,32.379,1,10.938,31.950,3,11.406,32.358,2,11.775,32.251
5,11.796,44.465,4,12.016,44.394,1,12.149,44.099,2,11.786,44.143,3,12.062,44.313
2,10.894,55.359,4,11.159,55.553,1,11.200,55.299,3,11.341,55.484,5,11.450,55.762
1,11.119,1:06.477,4,11.425,1:06.977,2,11.505,1:06.803,5,11.583,1:07.067,3,11.105,1:06.867
2,11.854,1:18.330,3,11.705,1:18.681,1,11.297,1:18.100,4,11.662,1:18.729,5,11.939,1:18.806
3,11.312,1:29.642,1,10.591,1:29.272,2,11.513,1:29.613,4,11.397,1:30.125,5,11.412,1:30.217
2,9.956,1:39.597,1,10.183,1:39.454,3,10.141,1:39.754,4,10.268,1:40.393,5,11.161,1:41.378
3,10.527,1:50.124,1,10.339,1:49.793,2,10.202,1:49.955,4,10.780,1:51.172,5,10.788,1:52.166
3,10.369,2:00.492,1,10.297,2:00.090,2,10.183,2:00.137,4,11.060,2:02.232,5,10.855,2:03.020
3,10.421,2:10.913,1,10.545,2:10.634,2,10.703,2:10.840,4,11.493,2:13.724,5,11.122,2:14.142
2,9.875,2:20.787,1,9.762,2:20.396,3,9.952,2:20.791,4,11.672,2:25.395,5,11.431,2:25.572
2,10.10,2:30.885,1,10.38,2:30.769,3,10.83,2:31.618,4,11.70,2:37.092,5,11.92,2:37.483
