CHOI Min Jeong POSITION,CHOI Min Jeong LAP TIME,CHOI Min Jeong ELAPSED TIME,Courtney SHMYR POSITION,Courtney SHMYR LAP TIME,Courtney SHMYR ELAPSED TIME,MALAGICH Emina POSITION,MALAGICH Emina LAP TIME,MALAGICH Emina ELAPSED TIME,FAN Kexin POSITION,FAN Kexin LAP TIME,FAN Kexin ELAPSED TIME
1,13.71,13.71,2,13.81,13.81,3,13.94,13.94,4,14.05,14.05
1,10.37,24.08,2,10.36,24.17,3,10.24,24.18,4,10.33,24.38
1,10.14,34.22,3,10.14,34.31,2,10.11,34.29,4,10.10,34.48
1,9.98,44.20,3,10.04,44.35,2,9.97,44.26,4,9.98,44.46
1,9.92,54.12,4,10.04,54.39,2,9.96,54.22,3,9.85,54.31
1,9.59,1:03.71,4,9.56,1:03.95,2,9.52,1:03.74,3,9.53,1:03.84
2,9.78,1:13.49,4,9.69,1:13.64,1,9.68,1:13.42,3,9.74,1:13.58
2,9.71,1:23.20,4,9.79,1:23.43,1,9.63,1:23.05,3,9.71,1:23.29
1,9.34,1:32.533,4,9.51,1:32.936,3,9.77,1:32.817,2,9.41,1:32.694
