Semen ELISTRATOV POSITION,Semen ELISTRATOV LAP TIME,Semen ELISTRATOV ELAPSED TIME,Robert BECKER POSITION,Robert BECKER LAP TIME,Robert BECKER ELAPSED TIME,Thomas PEARCE POSITION,Thomas PEARCE LAP TIME,Thomas PEARCE ELAPSED TIME,Benjamin MACE POSITION,Benjamin MACE LAP TIME,Benjamin MACE ELAPSED TIME,Aslan DAUMOV POSITION,Aslan DAUMOV LAP TIME,Aslan DAUMOV ELAPSED TIME,Peter DARAZS POSITION,Peter DARAZS LAP TIME,Peter DARAZS ELAPSED TIME
6,8.79,8.79,2,8.05,8.05,3,8.24,8.24,1,7.86,7.86,4,8.34,8.34,5,8.54,8.54
6,11.34,20.14,1,11.44,19.49,5,11.62,19.87,2,11.62,19.49,3,11.34,19.69,4,11.30,19.85
5,10.67,30.81,3,10.85,30.34,4,10.61,30.48,1,10.61,30.10,2,10.64,30.34,6,11.12,30.98
5,10.44,41.25,3,10.69,41.04,6,10.94,41.42,1,10.77,40.87,4,10.80,41.14,2,10.05,41.04
2,9.51,50.77,4,10.12,51.17,6,10.04,51.47,3,10.16,51.04,5,10.10,51.25,1,9.51,50.55
1,9.98,1:00.75,3,9.67,1:00.84,5,9.74,1:01.21,2,9.79,1:00.83,4,9.62,1:00.87,6,10.74,1:01.30
1,9.92,1:10.68,3,9.97,1:10.81,5,9.80,1:11.02,4,10.00,1:10.84,6,10.21,1:11.08,2,9.40,1:10.70
2,9.96,1:20.64,1,9.79,1:20.60,5,9.90,1:20.92,6,10.26,1:21.11,4,9.70,1:20.78,3,9.96,1:20.67
2,9.77,1:30.41,1,9.80,1:30.41,5,9.88,1:30.81,4,9.39,1:30.50,6,10.42,1:31.21,3,9.78,1:30.45
1,9.65,1:40.07,3,9.78,1:40.19,4,9.60,1:40.41,5,9.92,1:40.43,6,9.91,1:41.12,2,9.71,1:40.16
1,9.77,1:49.85,3,9.89,1:50.09,4,9.80,1:50.22,5,9.81,1:50.24,6,10.40,1:51.52,2,9.76,1:49.92
1,9.81,1:59.67,3,9.79,1:59.89,5,9.79,2:00.01,4,9.73,1:59.98,6,10.84,2:02.37,2,9.77,1:59.70
2,9.85,2:09.52,3,9.71,2:09.60,5,10.09,2:10.10,4,9.98,2:09.96,6,10.75,2:13.13,1,9.81,2:09.51
1,9.98,2:19.499,3,10.04,2:19.637,5,10.16,2:20.260,4,10.23,2:20.185,6,11.10,2:24.221,2,10.13,2:19.634
