LI Ye POSITION,LI Ye LAP TIME,LI Ye ELAPSED TIME,Tom IVESON POSITION,Tom IVESON LAP TIME,Tom IVESON ELAPSED TIME,HAMELIN Charles POSITION,HAMELIN Charles LAP TIME,HAMELIN Charles ELAPSED TIME,KWAK Yoon-Gy POSITION,KWAK Yoon-Gy LAP TIME,KWAK Yoon-Gy ELAPSED TIME
3,13.47,13.47,1,13.22,13.22,2,13.27,13.27,4,13.62,13.62
1,9.79,23.26,2,10.19,23.42,3,10.20,23.48,4,10.00,23.62
1,9.81,33.07,3,9.68,33.10,2,9.61,33.09,4,9.71,33.33
3,9.20,42.28,2,9.14,42.25,1,9.06,42.16,4,9.10,42.44
3,9.44,51.72,2,9.36,51.62,1,9.43,51.60,4,9.48,51.92
3,9.32,1:01.04,1,9.37,1:00.99,2,9.39,1:00.99,4,9.27,1:01.20
2,9.12,1:10.17,3,9.23,1:10.22,1,9.14,1:10.13,4,9.11,1:10.31
3,9.19,1:19.36,4,9.17,1:19.39,1,9.06,1:19.19,2,8.92,1:19.23
3,9.53,1:28.884,4,9.51,1:28.897,2,9.14,1:28.323,1,9.04,1:28.266
