Azamat NURMAGAMBETOV POSITION,Azamat NURMAGAMBETOV LAP TIME,Azamat NURMAGAMBETOV ELAPSED TIME,Gianluigi NOVER POSITION,Gianluigi NOVER LAP TIME,Gianluigi NOVER ELAPSED TIME,Tom IVESON POSITION,Tom IVESON LAP TIME,Tom IVESON ELAPSED TIME,Freek van der WART POSITION,Freek van der WART LAP TIME,Freek van der WART ELAPSED TIME
3,13.74,13.74,2,13.73,13.73,1,13.58,13.58,4,13.87,13.87
3,9.96,23.70,4,9.98,23.72,1,9.89,23.47,2,9.79,23.67
3,9.87,33.58,1,9.47,33.19,2,9.79,33.27,4,9.95,33.63
4,9.99,43.58,1,10.03,43.23,2,9.98,43.25,3,9.93,43.56
4,9.88,53.46,1,9.91,53.15,2,9.99,53.24,3,9.76,53.32
4,9.55,1:03.01,1,9.57,1:02.73,2,9.51,1:02.75,3,9.66,1:02.98
4,9.43,1:12.45,1,9.37,1:12.10,2,9.43,1:12.18,3,9.39,1:12.37
4,9.68,1:22.13,2,9.59,1:21.69,1,9.36,1:21.55,3,9.49,1:21.86
4,10.31,1:32.434,2,9.51,1:31.198,1,9.58,1:31.128,3,9.40,1:31.258
