Viktor KNOCH POSITION,Viktor KNOCH LAP TIME,Viktor KNOCH ELAPSED TIME,Paul HERRMANN POSITION,Paul HERRMANN LAP TIME,Paul HERRMANN ELAPSED TIME,Maxime CHATAIGNIER POSITION,Maxime CHATAIGNIER LAP TIME,Maxime CHATAIGNIER ELAPSED TIME,KNEGT Sjinkie POSITION,KNEGT Sjinkie LAP TIME,KNEGT Sjinkie ELAPSED TIME
1,6.78,6.78,4,7.31,7.31,2,6.97,6.97,3,7.04,7.04
1,9.01,15.79,3,9.08,16.39,4,28.22,35.19,2,8.90,15.94
1,8.48,24.27,3,8.79,25.18,4,10.99,46.18,2,8.39,24.33
3,21.74,46.01,2,8.94,34.12,4,9.94,56.12,1,9.51,33.84
3,15.82,1:01.822,2,9.72,43.838,4,10.65,1:06.766,1,9.66,43.500
