Dave VERSTEEG POSITION,Dave VERSTEEG LAP TIME,Dave VERSTEEG ELAPSED TIME,Jean Charles MATTEI POSITION,Jean Charles MATTEI LAP TIME,Jean Charles MATTEI ELAPSED TIME,Nicola RODIGARI POSITION,Nicola RODIGARI LAP TIME,Nicola RODIGARI ELAPSED TIME,Dmitry VASILENKO POSITION,Dmitry VASILENKO LAP TIME,Dmitry VASILENKO ELAPSED TIME,Ivan BELOV POSITION,Ivan BELOV LAP TIME,Ivan BELOV ELAPSED TIME
3,7.451,7.451,1,7.069,7.069,5,7.487,7.487,2,7.282,7.282,4,7.476,7.476
5,9.692,17.143,1,9.275,16.343,3,9.398,16.884,4,9.656,16.938,2,9.367,16.842
5,9.196,26.338,1,8.966,25.308,2,8.789,25.673,4,9.084,26.022,3,9.152,25.994
5,9.225,35.563,2,9.457,34.764,1,8.953,34.626,3,9.042,35.063,4,9.129,35.122
5,10.13,45.692,2,9.43,44.193,1,9.26,43.880,4,9.93,44.993,3,9.48,44.593
