Vojtech LOUDIN POSITION,Vojtech LOUDIN LAP TIME,Vojtech LOUDIN ELAPSED TIME,Stephane PERIER POSITION,Stephane PERIER LAP TIME,Stephane PERIER ELAPSED TIME,UM Cheon-Ho POSITION,UM Cheon-Ho LAP TIME,UM Cheon-Ho ELAPSED TIME
2,7.01,7.01,1,6.79,6.79,3,7.11,7.11
3,9.21,16.23,1,9.17,15.96,2,8.96,16.08
3,8.90,25.13,1,8.87,24.83,2,8.84,24.92
3,9.07,34.21,2,9.09,33.93,1,8.84,33.76
3,9.29,43.491,2,9.18,43.105,1,9.14,42.898
