PARK Se Yeong POSITION,PARK Se Yeong LAP TIME,PARK Se Yeong ELAPSED TIME,Richard SHOEBRIDGE POSITION,Richard SHOEBRIDGE LAP TIME,Richard SHOEBRIDGE ELAPSED TIME,Shaolin Sandor LIU POSITION,Shaolin Sandor LIU LAP TIME,Shaolin Sandor LIU ELAPSED TIME,Chris CREVELING POSITION,Chris CREVELING LAP TIME,Chris CREVELING ELAPSED TIME,BREEUWSMA Daan POSITION,BREEUWSMA Daan LAP TIME,BREEUWSMA Daan ELAPSED TIME,SCHUBERT Christoph POSITION,SCHUBERT Christoph LAP TIME,SCHUBERT Christoph ELAPSED TIME,Aydar BEKZHANOV POSITION,Aydar BEKZHANOV LAP TIME,Aydar BEKZHANOV ELAPSED TIME
2,8.91,8.91,1,8.77,8.77,3,9.02,9.02,4,9.19,9.19,6,9.36,9.36,5,9.25,9.25,7,9.62,9.62
3,11.96,20.87,2,11.95,20.72,4,11.98,21.00,5,11.95,21.14,6,11.94,21.30,1,11.36,20.61,7,11.80,21.42
3,11.65,32.52,2,11.66,32.38,4,11.64,32.64,5,11.60,32.74,6,11.53,32.83,1,11.67,32.28,7,11.54,32.96
4,11.50,44.02,3,11.51,43.89,5,11.49,44.13,2,11.06,43.80,6,11.39,44.22,1,11.49,43.77,7,11.34,44.30
4,10.80,54.82,3,10.84,54.73,5,10.79,54.92,1,10.73,54.53,6,10.82,55.04,2,10.88,54.65,7,10.85,55.15
1,10.20,1:05.02,5,10.60,1:05.33,3,10.25,1:05.17,2,10.55,1:05.08,6,10.43,1:05.47,4,10.57,1:05.22,7,10.43,1:05.58
2,9.60,1:14.62,5,9.49,1:14.82,1,9.37,1:14.54,3,9.60,1:14.68,6,9.51,1:14.98,4,9.56,1:14.78,7,9.49,1:15.07
1,9.74,1:24.36,6,10.01,1:24.83,2,9.88,1:24.42,3,9.83,1:24.51,7,9.97,1:24.95,5,9.91,1:24.69,4,9.57,1:24.64
1,9.51,1:33.87,6,9.45,1:34.28,3,9.54,1:33.96,2,9.37,1:33.88,7,9.45,1:34.40,5,9.48,1:34.17,4,9.40,1:34.04
2,9.20,1:43.07,6,9.27,1:43.55,3,9.17,1:43.13,1,9.00,1:42.88,7,9.26,1:43.66,5,9.29,1:43.46,4,9.23,1:43.27
2,8.86,1:51.93,5,8.85,1:52.40,3,8.90,1:52.03,1,8.99,1:51.87,6,8.95,1:52.61,7,9.34,1:52.80,4,8.85,1:52.12
1,8.89,2:00.82,5,8.89,2:01.29,3,8.94,2:00.97,2,9.07,2:00.94,6,8.84,2:01.45,7,9.40,2:02.20,4,9.04,2:01.16
1,9.06,2:09.88,5,9.35,2:10.64,2,8.96,2:09.93,3,9.34,2:10.28,4,8.86,2:10.31,7,9.71,2:11.91,6,9.53,2:10.69
1,9.36,2:19.24,0,,PHOTO,2,9.35,2:19.28,0,,PHOTO,3,9.12,2:19.43,7,10.76,2:22.67,6,10.64,2:21.33
