Jorien ter MORS POSITION,Jorien ter MORS LAP TIME,Jorien ter MORS ELAPSED TIME,Inna SIMONOVA POSITION,Inna SIMONOVA LAP TIME,Inna SIMONOVA ELAPSED TIME,Olga BELYAKOVA POSITION,Olga BELYAKOVA LAP TIME,Olga BELYAKOVA ELAPSED TIME,Raya ZAHARIEVA POSITION,Raya ZAHARIEVA LAP TIME,Raya ZAHARIEVA ELAPSED TIME
3,14.27,14.27,1,14.01,14.01,2,14.07,14.07,4,14.48,14.48
3,11.01,25.28,1,10.91,24.92,2,10.97,25.04,4,11.02,25.50
3,10.72,36.01,2,10.89,35.82,1,10.78,35.82,4,10.70,36.21
3,10.60,46.62,1,10.50,46.32,2,10.53,46.36,4,10.50,46.72
3,9.92,56.54,1,10.09,56.41,2,10.15,56.51,4,10.27,56.99
2,9.83,1:06.38,1,9.88,1:06.29,3,9.95,1:06.46,4,10.19,1:07.18
3,10.13,1:16.52,1,9.93,1:16.23,2,10.00,1:16.46,4,10.63,1:17.81
1,10.32,1:26.84,2,10.64,1:26.87,3,10.43,1:26.90,4,11.11,1:28.92
1,10.50,1:37.333,2,10.91,1:37.778,3,10.89,1:37.784,4,11.55,1:40.470
