HAMELIN Charles POSITION,HAMELIN Charles LAP TIME,HAMELIN Charles ELAPSED TIME,BLACKBURN Mackenzie POSITION,BLACKBURN Mackenzie LAP TIME,BLACKBURN Mackenzie ELAPSED TIME,Simon CHO POSITION,Simon CHO LAP TIME,Simon CHO ELAPSED TIME,YANG Jin POSITION,YANG Jin LAP TIME,YANG Jin ELAPSED TIME
2,6.90,6.90,1,6.81,6.81,3,7.02,7.02,4,7.21,7.21
1,8.92,15.82,2,9.05,15.86,3,8.95,15.97,4,9.05,16.26
1,8.64,24.46,3,8.69,24.55,2,8.56,24.53,4,8.59,24.85
1,8.74,33.20,3,8.95,33.50,2,8.75,33.28,4,8.72,33.57
1,8.96,42.158,3,9.13,42.630,2,9.05,42.330,4,9.11,42.680
