Roberts ZVEJNIEKS POSITION,Roberts ZVEJNIEKS LAP TIME,Roberts ZVEJNIEKS ELAPSED TIME,Shaoang LIU POSITION,Shaoang LIU LAP TIME,Shaoang LIU ELAPSED TIME,REN Ziwei POSITION,REN Ziwei LAP TIME,REN Ziwei ELAPSED TIME,Semen ELISTRATOV POSITION,Semen ELISTRATOV LAP TIME,Semen ELISTRATOV ELAPSED TIME
1,12.40,12.40,2,12.60,12.60,3,12.82,12.82,4,12.96,12.96
1,9.71,22.11,2,9.62,22.22,3,9.51,22.33,4,9.49,22.45
1,9.98,32.09,2,9.96,32.18,3,9.94,32.27,4,9.89,32.34
3,9.75,41.84,1,9.51,41.69,2,9.55,41.82,4,9.66,42.00
4,9.77,51.61,1,9.47,51.16,2,9.48,51.30,3,9.47,51.47
4,9.27,1:00.88,1,9.37,1:00.53,2,9.27,1:00.57,3,9.26,1:00.73
4,9.45,1:10.33,2,9.51,1:10.04,1,9.36,1:09.93,3,9.47,1:10.20
4,9.62,1:19.95,2,9.32,1:19.36,1,9.35,1:19.28,3,9.27,1:19.47
4,10.21,1:30.16,1,9.12,1:28.48,3,9.57,1:28.85,2,9.07,1:28.54
