HAN Tianyu POSITION,HAN Tianyu LAP TIME,HAN Tianyu ELAPSED TIME,BYKANOV Vladislav POSITION,BYKANOV Vladislav LAP TIME,BYKANOV Vladislav ELAPSED TIME,KNEGT Sjinkie POSITION,KNEGT Sjinkie LAP TIME,KNEGT Sjinkie ELAPSED TIME,CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME,HAMELIN Charles POSITION,HAMELIN Charles LAP TIME,HAMELIN Charles ELAPSED TIME
2,9.36,9.36,4,9.65,9.65,1,9.22,9.22,5,9.82,9.82,3,9.47,9.47
2,12.55,21.91,4,12.54,22.19,1,12.53,21.75,5,12.52,22.34,3,12.56,22.03
2,11.59,33.50,5,11.55,33.74,1,11.62,33.37,4,11.35,33.69,3,11.58,33.61
1,10.29,43.79,5,10.41,44.15,3,10.51,43.88,4,10.19,43.88,2,10.25,43.86
2,9.74,53.53,5,9.66,53.81,4,9.82,53.70,1,9.60,53.48,3,9.77,53.63
2,10.25,1:03.78,5,10.22,1:04.03,4,10.23,1:03.93,1,10.21,1:03.69,3,10.22,1:03.85
4,10.23,1:14.01,5,10.15,1:14.18,3,10.06,1:13.99,2,10.22,1:13.91,1,10.02,1:13.87
4,10.05,1:24.06,5,10.06,1:24.24,3,9.94,1:23.93,2,9.94,1:23.85,1,9.93,1:23.80
2,9.44,1:33.50,5,9.51,1:33.75,4,9.72,1:33.65,3,9.71,1:33.56,1,9.64,1:33.44
2,9.18,1:42.68,5,9.21,1:42.96,4,9.21,1:42.86,3,9.20,1:42.76,1,9.10,1:42.54
2,9.26,1:51.94,3,9.10,1:52.06,4,9.25,1:52.11,5,9.43,1:52.19,1,9.31,1:51.85
2,9.31,2:01.25,4,9.35,2:01.41,3,9.22,2:01.33,5,9.36,2:01.55,1,9.28,2:01.13
2,9.33,2:10.58,4,9.35,2:10.76,3,9.34,2:10.67,5,9.28,2:10.83,1,9.32,2:10.45
2,8.99,2:19.566,4,9.00,2:19.757,3,9.02,2:19.687,5,9.27,2:20.099,1,8.89,2:19.331
