HAMELIN Charles POSITION,HAMELIN Charles LAP TIME,HAMELIN Charles ELAPSED TIME,AYRAPETYAN Denis POSITION,AYRAPETYAN Denis LAP TIME,AYRAPETYAN Denis ELAPSED TIME,EMONS Friso POSITION,EMONS Friso LAP TIME,EMONS Friso ELAPSED TIME,KIM Dong Wook POSITION,KIM Dong Wook LAP TIME,KIM Dong Wook ELAPSED TIME,SCHUBERT Christoph POSITION,SCHUBERT Christoph LAP TIME,SCHUBERT Christoph ELAPSED TIME,WATANABE Keita POSITION,WATANABE Keita LAP TIME,WATANABE Keita ELAPSED TIME,LUEDTKE Adrian POSITION,LUEDTKE Adrian LAP TIME,LUEDTKE Adrian ELAPSED TIME
2,8.13,8.13,1,7.80,7.80,6,8.52,,3,8.27,8.27,5,8.43,8.43,4,8.38,8.38,7,8.69,8.69
2,11.18,19.31,1,11.48,19.28,3,10.81,,4,11.15,19.42,7,11.11,19.54,6,11.09,19.47,5,10.75,19.44
2,11.02,30.33,3,11.17,30.45,1,10.88,,5,11.28,30.70,7,11.37,30.91,6,11.33,30.80,4,11.15,30.59
2,11.51,41.84,2,11.39,41.84,1,11.52,,5,11.52,42.22,7,11.46,42.37,6,11.55,42.35,4,11.46,42.05
5,10.95,52.79,3,10.84,52.68,6,11.23,,1,10.36,52.58,2,10.25,52.62,4,10.41,52.76,7,11.05,53.10
4,9.73,1:02.52,3,9.78,1:02.46,5,9.66,,2,9.78,1:02.36,1,9.67,1:02.29,6,9.97,1:02.73,7,9.67,1:02.77
3,9.27,1:11.79,5,9.42,1:11.88,4,9.22,,1,9.22,1:11.58,2,9.43,1:11.72,6,9.47,1:12.20,7,9.56,1:12.33
3,9.16,1:20.95,5,9.30,1:21.18,4,9.21,,1,9.17,1:20.75,2,9.13,1:20.85,6,9.12,1:21.32,7,9.09,1:21.42
3,9.02,1:29.97,5,9.05,1:30.23,4,9.03,,1,9.10,1:29.85,2,9.10,1:29.95,6,9.04,1:30.36,7,9.05,1:30.47
2,8.87,1:38.84,4,8.82,1:39.05,3,8.82,,1,8.82,1:38.67,5,9.12,1:39.07,6,8.82,1:39.18,7,8.79,1:39.26
2,8.72,1:47.56,4,8.75,1:47.80,3,8.74,,1,8.79,1:47.46,7,9.07,1:48.14,5,8.79,1:47.97,6,8.85,1:48.11
2,8.79,1:56.35,4,8.78,1:56.58,3,8.79,,1,8.79,1:56.25,7,9.26,1:57.40,5,8.77,1:56.74,6,8.75,1:56.86
6,9.59,2:05.94,3,8.86,2:05.44,2,8.97,,1,9.02,2:05.27,7,9.67,2:07.07,4,8.83,2:05.57,5,8.82,2:05.68
6,10.30,2:16.24,2,9.12,2:14.56,3,9.33,,1,9.25,2:14.52,6,10.82,2:17.892,4,9.26,2:14.83,5,9.19,2:14.87
