Ondrej SUCHY POSITION,Ondrej SUCHY LAP TIME,Ondrej SUCHY ELAPSED TIME,J.R. CELSKI POSITION,J.R. CELSKI LAP TIME,J.R. CELSKI ELAPSED TIME,Maxime FORTIN POSITION,Maxime FORTIN LAP TIME,Maxime FORTIN ELAPSED TIME,SAULITIS Jekabs POSITION,SAULITIS Jekabs LAP TIME,SAULITIS Jekabs ELAPSED TIME
1,13.275,13.275,4,15.016,15.016,2,13.403,13.403,3,13.521,13.521
1,11.169,24.444,4,10.173,25.189,2,11.176,24.579,3,11.072,24.594
1,9.991,34.435,2,9.476,34.665,4,10.156,34.735,3,10.093,34.686
1,9.559,43.994,3,9.557,44.221,2,9.406,44.141,4,9.544,44.231
2,9.563,53.557,4,9.432,53.653,1,9.273,53.414,3,9.407,53.638
3,9.513,1:03.069,2,9.297,1:02.950,1,9.268,1:02.681,4,9.662,1:03.299
3,9.631,1:12.700,2,9.582,1:12.532,1,9.316,1:11.998,4,10.099,1:13.398
3,9.902,1:22.602,2,9.313,1:21.845,1,9.695,1:21.693,4,10.625,1:24.023
3,10.453,1:33.055,2,9.663,1:31.509,1,9.606,1:31.299,4,10.976,1:34.998
