Arianna FONTANA POSITION,Arianna FONTANA LAP TIME,Arianna FONTANA ELAPSED TIME,Ayuko ITO POSITION,Ayuko ITO LAP TIME,Ayuko ITO ELAPSED TIME,Lana GEHRING POSITION,Lana GEHRING LAP TIME,Lana GEHRING ELAPSED TIME,Jorien ter MORS POSITION,Jorien ter MORS LAP TIME,Jorien ter MORS ELAPSED TIME,LI Jianrou POSITION,LI Jianrou LAP TIME,LI Jianrou ELAPSED TIME,KIM Dam Min POSITION,KIM Dam Min LAP TIME,KIM Dam Min ELAPSED TIME,Ekaterina BARANOK POSITION,Ekaterina BARANOK LAP TIME,Ekaterina BARANOK ELAPSED TIME
3,9.95,9.95,1,9.68,9.68,2,9.80,9.80,5,10.18,10.18,4,10.08,10.08,7,10.41,10.41,6,10.26,10.26
3,13.38,23.33,2,13.49,23.17,4,13.68,23.48,1,12.81,22.99,5,13.41,23.49,7,13.39,23.80,6,13.40,23.66
3,11.57,34.90,1,11.46,34.63,5,11.63,35.11,2,11.79,34.78,4,11.54,35.03,6,11.35,35.15,7,11.56,35.22
4,10.49,45.39,2,10.49,45.12,7,10.47,45.58,3,10.51,45.29,5,10.46,45.49,1,9.85,45.00,6,10.35,45.57
4,10.36,55.75,2,10.40,55.52,6,10.36,55.94,3,10.37,55.66,5,10.37,55.86,1,10.52,55.52,7,10.38,55.95
2,9.85,1:05.60,3,10.16,1:05.68,1,9.39,1:05.33,6,10.25,1:05.91,4,9.91,1:05.77,5,10.27,1:05.79,7,10.05,1:06.00
2,9.55,1:15.15,4,9.66,1:15.34,1,9.73,1:15.06,6,9.68,1:15.59,3,9.48,1:15.25,5,9.72,1:15.51,7,9.68,1:15.68
2,9.99,1:25.14,4,9.95,1:25.29,1,10.00,1:25.06,7,9.90,1:25.49,3,9.97,1:25.22,5,9.90,1:25.41,6,9.80,1:25.48
2,10.24,1:35.38,4,10.31,1:35.60,1,10.26,1:35.32,7,10.43,1:35.92,3,10.29,1:35.51,5,10.33,1:35.74,6,10.34,1:35.82
2,10.24,1:45.62,4,10.22,1:45.82,1,10.19,1:45.51,6,10.09,1:46.01,3,10.21,1:45.72,5,10.19,1:45.93,7,10.34,1:46.16
2,9.94,1:55.56,4,9.93,1:55.75,1,9.94,1:55.45,5,9.88,1:55.89,3,9.93,1:55.65,6,10.11,1:56.04,7,10.03,1:56.19
2,9.74,2:05.30,4,9.75,2:05.50,1,9.73,2:05.18,5,9.73,2:05.62,3,9.74,2:05.39,6,9.68,2:05.72,7,9.83,2:06.02
2,9.78,2:15.08,5,9.77,2:15.27,1,9.81,2:14.99,4,9.64,2:15.26,3,9.76,2:15.15,6,9.59,2:15.31,7,10.04,2:16.06
2,9.86,2:24.935,5,10.11,2:25.372,1,9.87,2:24.854,4,9.99,2:25.242,7,34.35,2:49.500,3,9.79,2:25.099,6,10.48,2:26.536
