Elena KAPLAN POSITION,Elena KAPLAN LAP TIME,Elena KAPLAN ELAPSED TIME,Maaike VOS POSITION,Maaike VOS LAP TIME,Maaike VOS ELAPSED TIME,ZHU Mi Lei POSITION,ZHU Mi Lei LAP TIME,ZHU Mi Lei ELAPSED TIME,Kimberly DERRICK POSITION,Kimberly DERRICK LAP TIME,Kimberly DERRICK ELAPSED TIME,Vera ANTANENKA POSITION,Vera ANTANENKA LAP TIME,Vera ANTANENKA ELAPSED TIME,Valeriya REZNIK POSITION,Valeriya REZNIK LAP TIME,Valeriya REZNIK ELAPSED TIME
0,8.493,8.493,0,8.399,8.399,0,8.926,8.926,0,8.723,8.723,0,8.568,8.568,0,8.744,8.744
0,11.735,20.228,0,11.468,19.868,0,11.525,20.450,0,11.307,20.030,0,11.664,20.232,0,11.511,20.256
0,11.208,31.435,0,11.371,31.239,0,11.395,31.845,0,11.364,31.394,0,11.477,31.709,0,11.221,31.477
0,11.704,43.140,0,11.443,42.681,0,11.529,43.375,0,11.520,42.915,0,11.464,43.173,0,11.569,43.046
0,11.217,54.356,0,11.660,54.341,0,11.378,54.753,0,11.363,54.278,0,11.048,54.222,0,11.110,54.155
0,10.919,1:05.275,0,10.420,1:04.761,0,10.877,1:05.629,0,10.862,1:05.140,0,11.105,1:05.327,0,10.421,1:04.576
0,10.870,1:16.145,0,11.131,1:15.891,0,10.659,1:16.288,0,10.716,1:15.856,0,10.533,1:15.860,0,11.006,1:15.582
0,10.459,1:26.604,0,10.360,1:26.252,0,10.456,1:26.744,0,10.314,1:26.170,0,10.240,1:26.100,0,10.243,1:25.826
0,10.688,1:37.291,0,10.669,1:36.920,0,10.266,1:37.010,0,10.460,1:36.630,0,10.666,1:36.765,0,10.517,1:36.343
0,10.724,1:48.015,0,10.760,1:47.680,0,10.228,1:47.238,0,10.100,1:46.730,0,10.671,1:47.436,0,10.378,1:46.721
0,10.796,1:58.811,0,10.613,1:58.294,0,9.998,1:57.236,0,10.334,1:57.064,0,10.830,1:58.267,0,9.882,1:56.603
0,10.451,2:09.262,0,10.651,2:08.944,0,10.161,2:07.397,0,10.529,2:07.593,0,11.334,2:09.601,0,10.818,2:07.421
0,10.855,2:20.117,0,10.889,2:19.833,0,10.508,2:17.905,0,10.570,2:18.163,0,11.770,2:21.371,0,11.543,2:18.964
0,11.212,2:31.329,0,11.266,2:31.100,0,10.538,2:28.443,0,11.047,2:29.209,0,12.655,2:34.026,0,12.670,2:31.634
