Michael GILDAY POSITION,Michael GILDAY LAP TIME,Michael GILDAY ELAPSED TIME,Viktor KNOCH POSITION,Viktor KNOCH LAP TIME,Viktor KNOCH ELAPSED TIME,Viacheslav KURGINIAN POSITION,Viacheslav KURGINIAN LAP TIME,Viacheslav KURGINIAN ELAPSED TIME,LEE Jung Su POSITION,LEE Jung Su LAP TIME,LEE Jung Su ELAPSED TIME,J.R. CELSKI POSITION,J.R. CELSKI LAP TIME,J.R. CELSKI ELAPSED TIME,CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME,Takashi YOSHIDA POSITION,Takashi YOSHIDA LAP TIME,Takashi YOSHIDA ELAPSED TIME
1,8.70,8.70,2,8.93,8.93,4,9.04,9.04,7,9.42,9.42,6,9.13,9.13,3,8.96,8.96,5,9.08,9.08
2,12.10,20.81,4,11.96,20.90,1,11.49,20.54,7,11.89,21.32,3,11.76,20.89,5,12.00,20.96,6,12.10,21.19
2,11.42,32.23,5,11.46,32.36,1,11.54,32.08,7,11.42,32.74,4,11.42,32.31,3,11.30,32.27,6,11.30,32.50
4,10.62,42.85,5,10.50,42.87,1,10.44,42.52,7,10.46,43.20,2,10.29,42.61,3,10.42,42.69,6,10.45,42.95
6,10.48,53.34,5,10.36,53.24,1,10.36,52.89,7,10.34,53.54,2,10.36,52.98,3,10.40,53.10,4,10.20,53.16
6,10.19,1:03.54,4,10.19,1:03.43,1,10.21,1:03.10,7,10.00,1:03.55,2,10.17,1:03.16,3,10.10,1:03.20,5,10.27,1:03.43
7,9.57,1:13.11,3,9.34,1:12.78,5,9.78,1:12.89,4,9.29,1:12.85,2,9.51,1:12.67,1,9.47,1:12.67,6,9.52,1:12.95
5,9.34,1:22.46,6,9.69,1:22.48,3,9.34,1:22.23,2,9.35,1:22.21,1,9.38,1:22.05,7,27.18,1:39.86,4,9.32,1:22.28
6,9.54,1:32.01,5,9.52,1:32.00,2,9.36,1:31.59,4,9.58,1:31.79,1,9.41,1:31.47,7,15.96,1:55.82,3,9.48,1:31.77
3,9.07,1:41.08,6,9.40,1:41.41,2,9.47,1:41.06,5,9.45,1:41.24,1,9.48,1:40.95,7,15.03,2:10.86,4,9.40,1:41.18
3,9.26,1:50.35,6,9.30,1:50.71,2,9.15,1:50.22,4,9.21,1:50.46,1,9.06,1:50.01,7,12.99,2:23.85,5,9.35,1:50.53
2,9.02,1:59.37,6,9.15,1:59.86,5,9.52,1:59.75,3,8.98,1:59.45,1,8.87,1:58.89,7,11.82,2:35.68,4,9.16,1:59.69
2,8.96,2:08.34,5,9.55,2:09.41,4,8.95,2:08.70,3,8.90,2:08.35,1,9.18,2:08.08,7,11.55,2:47.23,6,9.85,2:09.55
2,9.39,2:17.729,0,,DQ,4,10.76,2:19.452,3,9.45,2:17.801,1,9.42,2:17.495,6,11.37,2:58.599,5,10.75,2:20.298
