SCHUBERT Christoph POSITION,SCHUBERT Christoph LAP TIME,SCHUBERT Christoph ELAPSED TIME,Jack WHELBOURNE POSITION,Jack WHELBOURNE LAP TIME,Jack WHELBOURNE ELAPSED TIME,Firat YARDIMCI POSITION,Firat YARDIMCI LAP TIME,Firat YARDIMCI ELAPSED TIME,Roberts ZVEJNIEKS POSITION,Roberts ZVEJNIEKS LAP TIME,Roberts ZVEJNIEKS ELAPSED TIME
4,14.01,14.01,1,13.82,13.82,2,13.90,13.90,3,14.01,14.01
3,10.72,24.73,1,10.80,24.62,2,10.76,24.66,4,10.77,24.78
3,9.96,34.69,2,9.97,34.59,1,9.66,34.32,4,10.04,34.82
3,9.18,43.87,2,9.16,43.75,1,9.31,43.63,4,9.16,43.98
4,9.02,52.89,1,8.88,52.63,2,9.07,52.70,3,8.86,52.84
4,9.09,1:01.98,1,9.01,1:01.64,2,9.03,1:01.73,3,9.00,1:01.84
4,9.09,1:11.07,1,9.13,1:10.77,2,9.15,1:10.88,3,9.22,1:11.06
3,9.11,1:20.18,1,9.21,1:19.98,2,9.23,1:20.11,4,10.14,1:21.20
0,,PEN,1,9.30,1:29.274,2,9.75,1:29.854,3,14.95,1:36.143
