Yoshiaki OGURO POSITION,Yoshiaki OGURO LAP TIME,Yoshiaki OGURO ELAPSED TIME,KAUFMANN-LUDWIG Leon POSITION,KAUFMANN-LUDWIG Leon LAP TIME,KAUFMANN-LUDWIG Leon ELAPSED TIME,Selim TANRIKULU POSITION,Selim TANRIKULU LAP TIME,Selim TANRIKULU ELAPSED TIME,Oleksandr ZHELTONOG POSITION,Oleksandr ZHELTONOG LAP TIME,Oleksandr ZHELTONOG ELAPSED TIME
2,7.24,7.24,1,7.04,7.04,3,7.37,7.37,4,7.49,7.49
2,9.14,16.38,1,9.17,16.21,3,9.34,16.71,4,9.32,16.81
2,8.60,24.98,1,8.75,24.96,3,8.84,25.55,4,8.98,25.79
1,8.75,33.73,2,8.88,33.84,3,9.01,34.56,4,9.15,34.94
1,8.92,42.642,2,8.91,42.748,3,9.28,43.833,4,9.46,44.396
