Serhiy LIFYRENKO POSITION,Serhiy LIFYRENKO LAP TIME,Serhiy LIFYRENKO ELAPSED TIME,Paul STANLEY POSITION,Paul STANLEY LAP TIME,Paul STANLEY ELAPSED TIME,KIM Byeong Jun POSITION,KIM Byeong Jun LAP TIME,KIM Byeong Jun ELAPSED TIME,Aydar BEKZHANOV POSITION,Aydar BEKZHANOV LAP TIME,Aydar BEKZHANOV ELAPSED TIME
1,6.90,6.90,2,7.05,7.05,3,7.18,7.18,4,7.36,7.36
3,9.46,16.36,1,9.18,16.23,2,9.11,16.29,4,9.07,16.43
4,9.06,25.42,1,8.71,24.94,2,8.74,25.03,3,8.85,25.28
4,8.90,34.32,2,8.99,33.93,1,8.81,33.84,3,8.79,34.07
4,9.10,43.416,2,8.96,42.882,1,8.84,42.679,3,8.85,42.915
