SHIM Suk Hee POSITION,SHIM Suk Hee LAP TIME,SHIM Suk Hee ELAPSED TIME,Veronika WINDISCH POSITION,Veronika WINDISCH LAP TIME,Veronika WINDISCH ELAPSED TIME,Aida BELLA POSITION,Aida BELLA LAP TIME,Aida BELLA ELAPSED TIME,Tunde BALAZS POSITION,Tunde BALAZS LAP TIME,Tunde BALAZS ELAPSED TIME,Ayuko ITO POSITION,Ayuko ITO LAP TIME,Ayuko ITO ELAPSED TIME
4,9.54,9.54,3,9.29,9.29,2,9.14,9.14,5,9.72,9.72,1,9.04,9.04
4,13.44,22.98,1,13.26,22.55,3,13.55,22.69,5,13.31,23.03,2,13.59,22.63
5,12.74,35.72,2,12.54,35.09,4,12.70,35.39,1,11.82,34.85,3,12.65,35.28
5,11.15,46.87,3,11.41,46.50,4,11.13,46.52,1,11.51,46.36,2,11.12,46.40
5,11.07,57.94,4,11.19,57.69,2,10.94,57.46,3,11.12,57.48,1,10.94,57.34
5,10.97,1:08.91,4,10.96,1:08.65,2,10.95,1:08.41,3,11.03,1:08.51,1,10.96,1:08.30
5,11.34,1:20.25,4,11.40,1:20.05,2,11.43,1:19.84,3,11.43,1:19.94,1,11.45,1:19.75
1,11.40,1:31.65,4,16.58,1:36.63,5,25.48,1:45.32,2,12.17,1:32.11,3,16.78,1:36.53
1,10.63,1:42.28,4,11.70,1:48.33,5,26.81,2:12.13,2,12.55,1:44.66,3,11.58,1:48.11
1,10.62,1:52.90,4,10.18,1:58.51,5,24.41,2:36.54,2,11.93,1:56.59,3,10.37,1:58.48
1,10.61,2:03.51,4,10.45,2:08.96,5,22.82,2:59.36,2,11.72,2:08.31,3,10.30,2:08.78
1,10.52,2:14.03,3,10.52,2:19.48,5,20.09,3:19.45,4,11.76,2:20.07,2,10.60,2:19.38
1,10.21,2:24.24,3,10.67,2:30.15,5,19.56,3:39.01,4,12.23,2:32.30,2,10.72,2:30.10
1,10.13,2:34.368,3,11.83,2:41.971,0,,PEN,4,19.89,2:52.187,2,10.98,2:41.079
