WU Dajing POSITION,WU Dajing LAP TIME,WU Dajing ELAPSED TIME,Victor AN POSITION,Victor AN LAP TIME,Victor AN ELAPSED TIME,Viktor KNOCH POSITION,Viktor KNOCH LAP TIME,Viktor KNOCH ELAPSED TIME,KNEGT Sjinkie POSITION,KNEGT Sjinkie LAP TIME,KNEGT Sjinkie ELAPSED TIME,HAMELIN Charles POSITION,HAMELIN Charles LAP TIME,HAMELIN Charles ELAPSED TIME
5,7.11,7.11,1,6.79,6.79,2,6.94,6.94,4,7.08,7.08,3,7.00,7.00
2,8.88,15.99,1,8.97,15.76,5,28.89,35.83,3,9.04,16.12,4,19.64,26.64
2,8.36,24.35,1,8.53,24.29,5,16.06,51.89,3,8.41,24.53,4,17.83,44.47
1,8.50,32.85,2,8.57,32.86,5,12.75,1:04.64,3,8.40,32.93,4,13.51,57.98
1,8.78,41.623,2,8.92,41.776,3,13.41,1:18.044,0,,PEN,0,,PEN
