TALAYEVA Volha POSITION,TALAYEVA Volha LAP TIME,TALAYEVA Volha ELAPSED TIME,Kristina VUTEVA POSITION,Kristina VUTEVA LAP TIME,Kristina VUTEVA ELAPSED TIME,Sarah LINDSAY POSITION,Sarah LINDSAY LAP TIME,Sarah LINDSAY ELAPSED TIME,Katerina NOVOTNA POSITION,Katerina NOVOTNA LAP TIME,Katerina NOVOTNA ELAPSED TIME,Cecilia MAFFEI POSITION,Cecilia MAFFEI LAP TIME,Cecilia MAFFEI ELAPSED TIME
3,8.84,8.84,2,8.70,8.70,4,8.88,8.88,5,8.98,8.98,1,8.54,8.54
4,11.70,20.54,3,11.71,20.41,1,11.21,20.09,5,11.80,20.78,2,11.73,20.27
4,11.45,31.99,3,11.49,31.90,1,11.57,31.66,5,11.33,32.11,2,11.52,31.79
2,11.74,43.73,5,12.07,43.97,1,12.04,43.70,4,11.81,43.92,3,12.08,43.87
1,10.43,54.16,5,10.73,54.70,2,10.57,54.27,4,10.61,54.53,3,10.51,54.38
1,10.73,1:04.89,5,10.68,1:05.38,2,10.73,1:05.00,4,10.69,1:05.22,3,10.72,1:05.10
1,10.87,1:15.76,5,10.83,1:16.21,2,10.86,1:15.86,4,10.83,1:16.05,3,10.86,1:15.96
2,10.84,1:26.60,5,10.75,1:26.96,1,10.73,1:26.59,4,10.75,1:26.80,3,10.74,1:26.70
4,10.50,1:37.10,5,10.26,1:37.22,2,10.26,1:36.85,3,10.16,1:36.96,1,10.13,1:36.83
4,10.21,1:47.31,5,10.34,1:47.56,2,10.04,1:46.89,3,10.05,1:47.01,1,9.96,1:46.79
4,10.14,1:57.45,5,10.27,1:57.83,2,9.86,1:56.75,3,9.83,1:56.84,1,9.84,1:56.63
4,10.60,2:08.05,5,10.61,2:08.44,2,10.06,2:06.81,3,10.00,2:06.84,1,9.99,2:06.62
4,11.05,2:19.10,5,11.06,2:19.50,3,10.53,2:17.34,1,9.80,2:16.64,2,10.31,2:16.93
4,11.35,2:30.442,5,11.32,2:30.820,3,10.98,2:28.318,1,10.16,2:26.794,2,10.29,2:27.215
