DESMET Hanne POSITION,DESMET Hanne LAP TIME,DESMET Hanne ELAPSED TIME,CHRISTIE Elise POSITION,CHRISTIE Elise LAP TIME,CHRISTIE Elise ELAPSED TIME,Petra JASZAPATI POSITION,Petra JASZAPATI LAP TIME,Petra JASZAPATI ELAPSED TIME,Michaela KUNCIROVA POSITION,Michaela KUNCIROVA LAP TIME,Michaela KUNCIROVA ELAPSED TIME,VIVIANI Elena POSITION,VIVIANI Elena LAP TIME,VIVIANI Elena ELAPSED TIME
2,7.61,7.61,1,7.29,7.29,3,7.71,7.71,5,7.95,7.95,4,7.84,7.84
2,9.72,17.33,1,9.30,16.59,3,9.70,17.41,5,9.71,17.66,4,9.67,17.51
2,9.27,26.60,1,8.91,25.50,4,9.30,26.71,5,9.16,26.82,3,9.12,26.63
2,9.42,36.02,1,8.97,34.47,3,9.37,36.08,5,9.45,36.27,4,9.56,36.19
0,,PHOTO,1,9.17,43.64,2,9.35,45.43,5,9.47,45.74,0,,PHOTO
