Anna SEIDEL POSITION,Anna SEIDEL LAP TIME,Anna SEIDEL ELAPSED TIME,THOMSON Kathryn POSITION,THOMSON Kathryn LAP TIME,THOMSON Kathryn ELAPSED TIME,TALAYEVA Volha POSITION,TALAYEVA Volha LAP TIME,TALAYEVA Volha ELAPSED TIME,PIERRON Veronique POSITION,PIERRON Veronique LAP TIME,PIERRON Veronique ELAPSED TIME,Anna JANSONE POSITION,Anna JANSONE LAP TIME,Anna JANSONE ELAPSED TIME
3,14.95,14.95,5,15.17,15.17,4,15.03,,1,14.81,14.81,2,14.84,14.84
3,11.41,26.36,5,11.44,26.61,4,11.45,,2,11.44,26.25,1,11.23,26.07
5,15.86,42.22,3,11.13,37.74,4,11.54,,2,11.24,37.49,1,11.31,37.38
5,11.92,54.14,3,10.41,48.15,4,10.40,,1,10.39,47.88,2,10.70,48.08
5,9.71,1:03.85,2,9.74,57.89,4,9.75,,1,9.84,57.72,3,9.98,58.06
5,9.91,1:13.76,2,9.72,1:07.61,4,9.72,,1,9.78,1:07.50,3,9.75,1:07.81
5,10.70,1:24.46,2,9.74,1:17.35,4,9.87,,1,9.81,1:17.31,3,9.75,1:17.56
5,12.15,1:36.61,1,9.49,1:26.84,4,9.87,,2,9.73,1:27.04,3,9.98,1:27.54
5,11.78,1:48.39,1,9.85,1:36.69,4,10.07,,2,9.81,1:36.85,3,10.07,1:37.61
