VALCEPINA Martina POSITION,VALCEPINA Martina LAP TIME,VALCEPINA Martina ELAPSED TIME,Agnieszka TAWREL POSITION,Agnieszka TAWREL LAP TIME,Agnieszka TAWREL ELAPSED TIME,Anne-Sophie DAVREUX POSITION,Anne-Sophie DAVREUX LAP TIME,Anne-Sophie DAVREUX ELAPSED TIME,Tatiana BODOVA POSITION,Tatiana BODOVA LAP TIME,Tatiana BODOVA ELAPSED TIME,CHRISTIE Elise POSITION,CHRISTIE Elise LAP TIME,CHRISTIE Elise ELAPSED TIME,Ainara EQUISOAIN POSITION,Ainara EQUISOAIN LAP TIME,Ainara EQUISOAIN ELAPSED TIME
1,10.17,10.17,5,10.47,10.47,4,10.40,10.40,3,10.35,10.35,2,10.33,10.33,6,10.49,10.49
2,15.21,25.38,1,14.80,25.27,5,15.25,25.65,4,15.21,25.56,3,15.11,25.44,6,15.27,25.76
2,13.65,39.03,1,13.62,38.89,4,13.58,39.23,5,13.71,39.27,3,13.70,39.14,6,13.59,39.35
3,12.65,51.68,2,12.71,51.60,1,12.26,51.49,4,12.45,51.72,5,12.63,51.77,6,12.53,51.88
4,12.17,1:03.85,3,12.11,1:03.71,2,12.10,1:03.59,1,11.73,1:03.45,5,12.25,1:04.02,6,12.40,1:04.28
5,11.72,1:15.57,4,11.75,1:15.46,2,11.74,1:15.33,1,11.77,1:15.22,3,11.44,1:15.46,6,11.44,1:15.72
5,11.30,1:26.87,4,11.30,1:26.76,3,11.34,1:26.67,2,11.36,1:26.58,1,11.03,1:26.49,6,11.29,1:27.01
5,11.68,1:38.55,4,11.58,1:38.34,3,11.64,1:38.31,2,11.68,1:38.26,1,11.66,1:38.15,6,11.69,1:38.70
5,10.58,1:49.13,4,10.72,1:49.06,2,10.50,1:48.81,3,10.69,1:48.95,1,10.57,1:48.72,6,10.98,1:49.68
2,10.16,1:59.29,4,10.43,1:59.49,3,10.57,1:59.38,5,10.71,1:59.66,1,10.47,1:59.19,6,11.17,2:00.85
2,9.97,2:09.26,4,10.09,2:09.58,3,10.02,2:09.40,5,10.29,2:09.95,1,9.94,2:09.13,6,11.41,2:12.26
2,10.07,2:19.33,4,10.28,2:19.86,3,10.17,2:19.57,5,10.73,2:20.68,1,10.06,2:19.19,6,11.88,2:24.14
2,10.05,2:29.38,4,10.93,2:30.79,3,10.47,2:30.04,5,10.83,2:31.51,1,10.06,2:29.25,6,12.12,2:36.26
2,10.07,2:39.441,4,11.25,2:42.035,3,11.06,2:41.093,5,10.99,2:42.499,1,9.95,2:39.198,6,12.19,2:48.450
