Ema ZELINSKA POSITION,Ema ZELINSKA LAP TIME,Ema ZELINSKA ELAPSED TIME,Petra JASZAPATI POSITION,Petra JASZAPATI LAP TIME,Petra JASZAPATI ELAPSED TIME,Maria GARKOVA POSITION,Maria GARKOVA LAP TIME,Maria GARKOVA ELAPSED TIME,Caroline MURPHY POSITION,Caroline MURPHY LAP TIME,Caroline MURPHY ELAPSED TIME,Mariya IZAFATAVA POSITION,Mariya IZAFATAVA LAP TIME,Mariya IZAFATAVA ELAPSED TIME,ZHANBUSINOVA Madina POSITION,ZHANBUSINOVA Madina LAP TIME,ZHANBUSINOVA Madina ELAPSED TIME,SONG Yang POSITION,SONG Yang LAP TIME,SONG Yang ELAPSED TIME
5,9.65,9.65,3,9.39,9.39,6,9.83,9.83,4,9.51,9.51,2,9.35,9.35,1,9.22,9.22,7,10.24,10.24
5,12.41,22.06,3,12.49,21.88,6,12.39,22.22,4,12.49,22.00,2,12.41,21.76,1,12.46,21.68,7,12.32,22.56
5,12.51,34.57,3,12.51,34.39,6,12.51,34.73,4,12.50,34.50,2,12.45,34.21,1,12.41,34.09,7,12.49,35.05
4,12.17,46.74,3,12.28,46.67,6,12.21,46.94,5,12.26,46.76,2,12.26,46.47,1,12.30,46.39,7,12.16,47.21
5,11.87,58.61,1,11.32,57.99,6,11.86,58.80,4,11.75,58.51,2,11.61,58.08,3,11.72,58.11,7,11.81,59.02
5,10.36,1:08.97,1,10.52,1:08.51,6,10.35,1:09.15,4,10.37,1:08.88,2,10.49,1:08.57,3,10.57,1:08.68,7,10.14,1:09.16
6,10.39,1:19.36,1,10.40,1:18.91,7,10.66,1:19.81,5,10.38,1:19.26,2,10.43,1:19.00,4,10.44,1:19.12,3,9.89,1:19.05
6,10.14,1:29.50,1,9.59,1:28.50,7,11.10,1:30.91,5,10.19,1:29.45,3,9.84,1:28.84,4,9.86,1:28.98,2,9.46,1:28.51
5,10.02,1:39.52,2,9.79,1:38.29,7,11.80,1:42.71,6,10.25,1:39.70,3,9.85,1:38.69,4,9.91,1:38.89,1,9.67,1:38.18
5,10.37,1:49.89,2,9.94,1:48.23,7,12.84,1:55.55,6,10.31,1:50.01,3,10.03,1:48.72,4,10.08,1:48.97,1,9.94,1:48.12
5,10.91,2:00.80,2,10.22,1:58.45,7,16.33,2:11.88,6,10.92,2:00.93,3,10.24,1:58.96,4,10.22,1:59.19,1,10.22,1:58.34
5,11.33,2:12.13,2,10.41,2:08.86,7,15.90,2:27.78,6,11.77,2:12.70,3,10.45,2:09.41,4,10.48,2:09.67,1,10.49,2:08.83
5,11.97,2:24.10,1,10.07,2:18.93,7,15.93,2:43.71,6,12.36,2:25.06,3,10.65,2:20.06,4,10.86,2:20.53,2,10.74,2:19.57
5,12.48,2:36.58,1,10.41,2:29.332,7,15.68,2:59.359,6,12.49,2:37.531,3,10.91,2:30.955,4,11.02,2:31.530,2,11.04,2:30.600
