Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME,J.R. CELSKI POSITION,J.R. CELSKI LAP TIME,J.R. CELSKI ELAPSED TIME,LEE Ho-Suk POSITION,LEE Ho-Suk LAP TIME,LEE Ho-Suk ELAPSED TIME,Richard SHOEBRIDGE POSITION,Richard SHOEBRIDGE LAP TIME,Richard SHOEBRIDGE ELAPSED TIME
1,12.80,12.80,3,12.98,12.98,4,13.11,13.11,2,12.90,12.90
2,10.60,23.41,3,10.48,23.47,4,10.60,23.71,1,10.49,23.39
2,10.18,33.59,3,10.21,33.68,4,10.10,33.82,1,10.20,33.59
2,9.51,43.10,1,9.38,43.06,4,9.45,43.28,3,9.58,43.17
2,9.27,52.37,3,9.36,52.43,4,9.20,52.48,1,9.15,52.32
2,9.13,1:01.51,4,9.14,1:01.57,3,9.09,1:01.57,1,9.07,1:01.40
1,9.15,1:10.67,4,9.20,1:10.77,3,9.18,1:10.76,2,9.34,1:10.74
3,9.11,1:19.78,2,8.89,1:19.66,1,8.79,1:19.55,4,9.37,1:20.12
3,9.59,1:29.368,2,9.27,1:28.922,1,9.29,1:28.838,4,10.12,1:30.236
