NIKISHA Denis POSITION,NIKISHA Denis LAP TIME,NIKISHA Denis ELAPSED TIME,SITNIKOV Pavel POSITION,SITNIKOV Pavel LAP TIME,SITNIKOV Pavel ELAPSED TIME,ANDERMANN Dominic POSITION,ANDERMANN Dominic LAP TIME,ANDERMANN Dominic ELAPSED TIME,Yauheni RYZHOU POSITION,Yauheni RYZHOU LAP TIME,Yauheni RYZHOU ELAPSED TIME,HANDEI Oleh POSITION,HANDEI Oleh LAP TIME,HANDEI Oleh ELAPSED TIME
1,6.86,6.86,2,7.05,7.05,3,7.36,7.36,5,7.51,7.51,4,7.49,7.49
1,9.07,15.93,2,8.97,16.02,4,9.08,16.44,5,9.11,16.62,3,8.87,16.36
1,8.59,24.52,2,8.59,24.61,4,8.60,25.04,5,8.56,25.18,3,8.45,24.81
2,8.94,33.46,1,8.76,33.37,4,8.80,33.84,5,8.74,33.92,3,8.71,33.52
3,9.24,42.705,1,8.95,42.32,5,9.07,42.913,4,8.87,42.790,2,8.96,42.488
