YU Yongjun POSITION,YU Yongjun LAP TIME,YU Yongjun ELAPSED TIME,Freek van der WART POSITION,Freek van der WART LAP TIME,Freek van der WART ELAPSED TIME,Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME,Artur SULTANGALIYEV POSITION,Artur SULTANGALIYEV LAP TIME,Artur SULTANGALIYEV ELAPSED TIME
3,13.06,13.06,1,12.98,12.98,2,13.01,13.01,4,13.27,13.27
2,10.17,23.23,1,10.21,23.19,3,10.30,23.31,4,10.24,23.51
2,9.52,32.75,3,9.73,32.92,1,9.42,32.73,4,9.53,33.04
2,9.74,42.49,3,9.69,42.61,1,9.67,42.40,4,9.67,42.71
2,9.74,52.23,3,9.69,52.30,1,9.73,52.13,4,9.72,52.43
2,9.39,1:01.62,4,9.56,1:01.86,1,9.39,1:01.52,3,9.31,1:01.74
1,9.06,1:10.68,4,9.17,1:11.03,2,9.18,1:10.70,3,9.10,1:10.84
1,9.15,1:19.83,4,9.08,1:20.11,2,9.21,1:19.91,3,9.16,1:20.00
1,9.45,1:29.278,3,9.32,1:29.424,2,9.47,1:29.373,4,10.28,1:30.278
