YANG Shin-Young POSITION,YANG Shin-Young LAP TIME,YANG Shin-Young ELAPSED TIME,RI Hyang Mi POSITION,RI Hyang Mi LAP TIME,RI Hyang Mi ELAPSED TIME,Marina GEORGIEVA-NIKOLOVA POSITION,Marina GEORGIEVA-NIKOLOVA LAP TIME,Marina GEORGIEVA-NIKOLOVA ELAPSED TIME,Katerina NOVOTNA POSITION,Katerina NOVOTNA LAP TIME,Katerina NOVOTNA ELAPSED TIME
4,7.71,7.71,1,7.47,7.47,3,7.67,7.67,2,7.54,7.54
4,9.97,17.69,2,9.97,17.45,3,9.90,17.58,1,9.78,17.33
2,9.16,26.85,3,9.47,26.92,4,9.49,27.07,1,9.14,26.47
2,9.30,36.16,3,9.27,36.19,4,9.49,36.56,1,9.49,35.96
2,9.56,45.714,3,10.29,46.479,4,9.98,46.538,1,9.71,45.662
