KIM Chol Gwang POSITION,KIM Chol Gwang LAP TIME,KIM Chol Gwang ELAPSED TIME,HOOGERWERF Dylan POSITION,HOOGERWERF Dylan LAP TIME,HOOGERWERF Dylan ELAPSED TIME,Felix SPIEGL POSITION,Felix SPIEGL LAP TIME,Felix SPIEGL ELAPSED TIME,Alex VARNYU POSITION,Alex VARNYU LAP TIME,Alex VARNYU ELAPSED TIME,Francois HAMELIN POSITION,Francois HAMELIN LAP TIME,Francois HAMELIN ELAPSED TIME
3,7.28,7.28,1,6.88,6.88,4,7.42,7.42,5,7.56,7.56,2,7.03,7.03
3,9.20,16.48,1,8.90,15.78,4,9.14,16.56,5,9.12,16.68,2,8.83,15.86
3,8.85,25.33,2,8.50,24.28,4,8.81,25.37,5,8.82,25.50,1,8.38,24.24
5,26.90,52.23,2,8.90,33.18,4,9.05,34.42,3,8.79,34.29,1,8.62,32.86
5,16.62,1:08.85,2,9.00,42.18,4,9.02,43.44,3,9.05,43.34,1,8.84,41.70
