TRAN Aaron POSITION,TRAN Aaron LAP TIME,TRAN Aaron ELAPSED TIME,HAN Tianyu POSITION,HAN Tianyu LAP TIME,HAN Tianyu ELAPSED TIME,SHULGINOV Alexander POSITION,SHULGINOV Alexander LAP TIME,SHULGINOV Alexander ELAPSED TIME,YOSHINAGA Kazuki POSITION,YOSHINAGA Kazuki LAP TIME,YOSHINAGA Kazuki ELAPSED TIME,DOTTI Tommaso POSITION,DOTTI Tommaso LAP TIME,DOTTI Tommaso ELAPSED TIME
1,12.35,12.35,2,12.46,12.46,4,12.67,12.67,3,12.57,12.57,5,12.77,12.77
1,9.40,21.75,2,9.40,21.86,4,9.43,22.10,3,9.43,22.00,5,9.42,22.19
1,9.14,30.89,2,9.12,30.98,4,9.11,31.21,3,9.10,31.10,5,9.12,31.31
1,9.04,39.93,2,9.05,40.03,4,8.98,40.19,3,9.00,40.10,5,9.01,40.32
2,9.10,49.03,1,8.91,48.94,4,8.99,49.18,3,9.02,49.12,5,8.99,49.31
3,9.00,58.03,1,8.92,57.86,4,8.94,58.12,2,8.82,57.94,5,8.97,58.28
3,8.93,1:06.96,1,8.88,1:06.74,4,8.85,1:06.97,2,8.85,1:06.79,5,8.85,1:07.13
5,9.43,1:16.39,1,9.00,1:15.74,4,9.18,1:16.15,2,9.29,1:16.08,3,9.01,1:16.14
4,9.71,1:26.084,1,9.26,1:24.984,3,9.64,1:25.783,5,19.98,1:36.025,2,9.48,1:25.607
