Minto SEKAI POSITION,Minto SEKAI LAP TIME,Minto SEKAI ELAPSED TIME,Torsten KROEGER POSITION,Torsten KROEGER LAP TIME,Torsten KROEGER ELAPSED TIME,Nurbergen ZHUMAGAZIYEV POSITION,Nurbergen ZHUMAGAZIYEV LAP TIME,Nurbergen ZHUMAGAZIYEV ELAPSED TIME,Niels KERSTHOLT POSITION,Niels KERSTHOLT LAP TIME,Niels KERSTHOLT ELAPSED TIME
2,13.24,13.24,3,13.39,13.39,4,13.51,13.51,1,13.22,13.22
1,9.91,23.15,3,9.92,23.31,4,9.90,23.41,2,10.01,23.23
1,10.11,33.26,3,10.19,33.50,4,10.19,33.60,2,10.05,33.28
2,9.69,42.95,3,9.59,43.09,4,9.63,43.23,1,9.62,42.90
2,9.54,52.49,3,9.49,52.58,4,9.46,52.69,1,9.49,52.39
2,9.60,1:02.09,3,9.65,1:02.23,4,9.65,1:02.34,1,9.58,1:01.97
2,9.45,1:11.54,3,9.41,1:11.64,4,9.56,1:11.90,1,9.44,1:11.41
2,9.40,1:20.94,3,9.42,1:21.06,4,10.24,1:22.14,1,9.42,1:20.83
2,9.46,1:30.398,3,9.48,1:30.537,4,11.57,1:33.701,1,9.48,1:30.303
