TALAYEVA Volha POSITION,TALAYEVA Volha LAP TIME,TALAYEVA Volha ELAPSED TIME,Bernadett HEIDUM POSITION,Bernadett HEIDUM LAP TIME,Bernadett HEIDUM ELAPSED TIME,Christin PRIEBST POSITION,Christin PRIEBST LAP TIME,Christin PRIEBST ELAPSED TIME,Evita KRIEVANE POSITION,Evita KRIEVANE LAP TIME,Evita KRIEVANE ELAPSED TIME
1,14.40,14.40,2,14.55,14.55,4,14.84,14.84,3,14.67,14.67
1,11.22,25.62,2,11.19,25.74,4,11.13,25.97,3,11.20,25.87
1,10.51,36.13,2,10.45,36.19,3,10.35,36.32,4,10.45,36.32
3,9.91,46.04,1,9.76,45.95,2,9.71,46.03,4,9.87,46.19
3,10.04,56.08,1,9.93,55.88,2,9.98,56.01,4,10.05,56.24
3,10.18,1:06.26,1,10.17,1:06.05,2,10.17,1:06.18,4,10.16,1:06.40
3,9.97,1:16.23,1,9.94,1:15.99,2,9.97,1:16.15,4,9.97,1:16.37
3,10.23,1:26.46,1,10.08,1:26.07,2,10.11,1:26.26,4,10.21,1:26.58
3,10.24,1:36.692,1,10.00,1:36.067,2,10.17,1:36.430,4,10.38,1:36.957
