Myukerrem TOP POSITION,Myukerrem TOP LAP TIME,Myukerrem TOP ELAPSED TIME,Shaolin Sandor LIU POSITION,Shaolin Sandor LIU LAP TIME,Shaolin Sandor LIU ELAPSED TIME,Kiril PANDOV POSITION,Kiril PANDOV LAP TIME,Kiril PANDOV ELAPSED TIME,Paul HERRMANN POSITION,Paul HERRMANN LAP TIME,Paul HERRMANN ELAPSED TIME
3,7.22,7.22,1,7.00,7.00,2,7.10,7.10,4,7.40,7.40
4,9.46,16.68,1,9.19,16.19,2,9.26,16.36,3,9.08,16.48
4,8.89,25.57,1,8.73,24.92,3,8.83,25.19,2,8.59,25.07
4,8.96,34.53,2,8.93,33.85,3,8.91,34.10,1,8.66,33.73
4,9.19,43.718,2,8.98,42.830,3,9.19,43.283,1,8.93,42.654
