Lucas NG POSITION,Lucas NG LAP TIME,Lucas NG ELAPSED TIME,LEE Han-Bin POSITION,LEE Han-Bin LAP TIME,LEE Han-Bin ELAPSED TIME,Serhiy LIFYRENKO POSITION,Serhiy LIFYRENKO LAP TIME,Serhiy LIFYRENKO ELAPSED TIME,BYKANOV Vladislav POSITION,BYKANOV Vladislav LAP TIME,BYKANOV Vladislav ELAPSED TIME
2,7.18,7.18,1,7.11,7.11,3,7.19,7.19,4,7.41,7.41
4,9.87,17.05,1,9.01,16.12,2,9.16,16.35,3,9.12,16.53
4,9.06,26.11,1,8.44,24.56,3,8.54,24.89,2,8.29,24.82
4,9.28,35.39,1,8.47,33.03,3,8.73,33.62,2,8.31,33.13
4,9.57,44.951,1,8.62,41.643,3,8.96,42.580,2,8.59,41.720
