Dariya VOLOKITINA POSITION,Dariya VOLOKITINA LAP TIME,Dariya VOLOKITINA ELAPSED TIME,Yasuko SAKASHITA POSITION,Yasuko SAKASHITA LAP TIME,Yasuko SAKASHITA ELAPSED TIME,Jessica KOOREMAN POSITION,Jessica KOOREMAN LAP TIME,Jessica KOOREMAN ELAPSED TIME,Gabrielle WILLIAMSON-DERRAUGH POSITION,Gabrielle WILLIAMSON-DERRAUGH LAP TIME,Gabrielle WILLIAMSON-DERRAUGH ELAPSED TIME,ZHOU Yang POSITION,ZHOU Yang LAP TIME,ZHOU Yang ELAPSED TIME
5,9.69,9.69,3,9.55,9.55,1,9.31,9.31,2,9.38,9.38,4,9.59,9.59
4,14.95,24.64,3,14.98,24.53,1,14.96,24.27,2,14.98,24.36,5,15.24,24.83
4,13.45,38.09,3,13.42,37.95,1,13.37,37.64,2,13.39,37.75,5,13.47,38.30
4,14.19,52.28,3,14.19,52.14,1,14.20,51.84,2,14.19,51.94,5,14.21,52.51
4,13.94,1:06.22,3,13.94,1:06.08,1,13.98,1:05.82,2,14.04,1:05.98,5,13.91,1:06.42
4,13.32,1:19.54,3,13.35,1:19.43,1,13.37,1:19.19,2,13.34,1:19.32,5,13.37,1:19.79
4,12.74,1:32.28,2,12.64,1:32.07,1,12.85,1:32.04,3,12.83,1:32.15,5,12.50,1:32.29
4,11.49,1:43.77,1,11.37,1:43.44,2,11.52,1:43.56,3,11.50,1:43.65,5,11.67,1:43.96
4,11.29,1:55.06,1,11.36,1:54.80,2,11.25,1:54.81,3,11.31,1:54.96,5,11.32,1:55.28
5,10.61,2:05.67,1,10.56,2:05.36,2,10.63,2:05.44,3,10.57,2:05.53,4,10.36,2:05.64
5,10.01,2:15.68,2,10.09,2:15.45,1,9.87,2:15.31,3,9.99,2:15.52,4,9.89,2:15.53
5,9.82,2:25.50,4,9.98,2:25.43,1,9.66,2:24.97,3,9.68,2:25.20,2,9.51,2:25.04
5,10.18,2:35.68,4,10.02,2:35.45,2,9.78,2:34.75,3,9.65,2:34.85,1,9.57,2:34.61
5,10.41,2:46.083,4,10.43,2:45.875,2,9.92,2:44.662,3,10.11,2:44.952,1,10.00,2:44.608
