Deanna LOCKETT POSITION,Deanna LOCKETT LAP TIME,Deanna LOCKETT ELAPSED TIME,van KERKHOF Yara POSITION,van KERKHOF Yara LAP TIME,van KERKHOF Yara ELAPSED TIME,CHRISTIE Elise POSITION,CHRISTIE Elise LAP TIME,CHRISTIE Elise ELAPSED TIME,Anastassiya KRESTOVA POSITION,Anastassiya KRESTOVA LAP TIME,Anastassiya KRESTOVA ELAPSED TIME,BINEY Maame POSITION,BINEY Maame LAP TIME,BINEY Maame ELAPSED TIME,KONYA Zsofia POSITION,KONYA Zsofia LAP TIME,KONYA Zsofia ELAPSED TIME,VALCEPINA Arianna POSITION,VALCEPINA Arianna LAP TIME,VALCEPINA Arianna ELAPSED TIME
3,11.53,11.53,7,12.35,12.35,6,12.18,12.18,4,11.66,11.66,5,11.86,11.86,1,11.28,11.28,2,11.39,11.39
4,14.01,25.54,7,13.60,25.95,6,13.66,25.84,1,13.36,25.02,5,13.84,25.70,2,13.85,25.13,3,13.90,25.29
5,12.25,37.79,6,11.91,37.86,4,11.91,37.75,1,12.38,37.40,7,12.22,37.92,2,12.40,37.53,3,12.37,37.66
6,10.96,48.75,2,10.45,48.31,1,10.49,48.24,3,11.03,48.43,7,10.97,48.89,4,10.96,48.49,5,10.94,48.60
6,10.46,59.21,2,10.69,59.00,1,10.68,58.92,4,10.67,59.10,7,10.46,59.35,4,10.61,59.10,3,10.48,59.08
7,10.21,1:09.42,4,10.16,1:09.16,2,10.12,1:09.04,1,9.89,1:08.99,5,9.87,1:09.22,6,10.14,1:09.24,3,9.98,1:09.06
7,9.96,1:19.38,3,9.86,1:19.02,2,9.90,1:18.94,1,9.85,1:18.84,4,9.81,1:19.03,6,9.96,1:19.20,5,10.01,1:19.07
7,9.97,1:29.35,4,9.92,1:28.94,2,9.91,1:28.85,1,9.81,1:28.65,3,9.87,1:28.90,5,9.91,1:29.11,6,10.15,1:29.22
7,9.80,1:39.15,4,9.86,1:38.80,2,9.71,1:38.56,1,9.85,1:38.50,3,9.79,1:38.69,5,9.79,1:38.90,6,9.82,1:39.04
7,9.78,1:48.93,3,9.54,1:48.34,1,9.52,1:48.08,2,9.76,1:48.26,4,9.84,1:48.53,4,9.63,1:48.53,6,9.82,1:48.86
5,9.58,1:58.51,2,9.69,1:58.03,1,9.75,1:57.83,3,9.90,1:58.16,6,10.02,1:58.55,4,9.76,1:58.29,7,10.11,1:58.97
2,9.47,2:07.98,3,9.96,2:07.99,1,9.73,2:07.56,5,10.23,2:08.39,6,10.51,2:09.06,4,9.91,2:08.20,7,10.66,2:09.63
1,9.47,2:17.45,3,10.33,2:18.32,2,9.97,2:17.53,5,10.64,2:19.03,6,11.63,2:20.69,4,10.20,2:18.40,7,11.59,2:21.22
1,9.75,2:27.208,3,10.62,2:28.940,2,9.92,2:27.455,5,11.07,2:30.105,7,12.44,2:33.134,4,10.80,2:29.209,6,11.77,2:32.990
