Yuliia BERESNEVA POSITION,Yuliia BERESNEVA LAP TIME,Yuliia BERESNEVA ELAPSED TIME,UZAKOVA Mariia-Mahdalyna POSITION,UZAKOVA Mariia-Mahdalyna LAP TIME,UZAKOVA Mariia-Mahdalyna ELAPSED TIME,Gloria IORIATTI POSITION,Gloria IORIATTI LAP TIME,Gloria IORIATTI ELAPSED TIME,JACOBS Gina POSITION,JACOBS Gina LAP TIME,JACOBS Gina ELAPSED TIME
1,15.37,15.37,2,15.51,15.51,3,15.61,15.61,4,15.70,15.70
1,12.86,28.23,2,12.81,28.32,3,12.84,28.45,4,12.85,28.55
1,12.10,40.33,2,12.03,40.35,3,12.04,40.49,4,12.07,40.62
3,10.44,50.77,1,10.33,50.68,2,10.26,50.75,4,10.28,50.90
3,10.03,1:00.80,1,9.96,1:00.64,2,9.99,1:00.74,4,10.04,1:00.94
3,9.79,1:10.59,1,9.81,1:10.45,2,9.81,1:10.55,4,9.75,1:10.69
2,9.63,1:20.22,1,9.67,1:20.12,3,9.80,1:20.35,4,9.71,1:20.40
2,9.85,1:30.07,1,9.87,1:29.99,3,9.87,1:30.22,4,9.84,1:30.24
3,10.16,1:40.23,0,,PHOTO,4,10.15,1:40.303,0,,PHOTO
