ANDERMANN Nico POSITION,ANDERMANN Nico LAP TIME,ANDERMANN Nico ELAPSED TIME,SHA Kexin POSITION,SHA Kexin LAP TIME,SHA Kexin ELAPSED TIME,KIM Joon Chun POSITION,KIM Joon Chun LAP TIME,KIM Joon Chun ELAPSED TIME,MARTINIC Ivan POSITION,MARTINIC Ivan LAP TIME,MARTINIC Ivan ELAPSED TIME,SAULITIS Jekabs POSITION,SAULITIS Jekabs LAP TIME,SAULITIS Jekabs ELAPSED TIME
1,11.50,,2,11.67,11.67,5,12.05,12.05,3,11.84,11.84,3,11.84,11.84
1,19.13,,2,19.22,30.89,5,19.31,31.36,3,19.20,31.04,4,19.39,31.23
1,18.29,,2,18.26,49.15,5,18.30,49.66,3,18.28,49.32,4,18.24,49.47
1,17.71,,2,17.65,1:06.80,5,17.63,1:07.29,3,17.62,1:06.94,4,17.62,1:07.09
1,15.89,,2,15.91,1:22.71,5,15.96,1:23.25,3,15.97,1:22.91,4,15.94,1:23.03
3,12.95,,1,12.49,1:35.20,5,12.50,1:35.75,4,12.61,1:35.52,2,12.32,1:35.35
4,10.62,,2,10.71,1:45.91,1,10.13,1:45.88,5,10.71,1:46.23,3,10.67,1:46.02
4,9.68,,2,9.56,1:55.47,1,9.55,1:55.43,5,9.60,1:55.83,3,9.62,1:55.64
4,9.27,,1,9.29,2:04.76,2,9.44,2:04.87,5,9.34,2:05.17,3,9.31,2:04.95
3,9.48,,1,9.53,2:14.29,2,9.52,2:14.39,5,9.49,2:14.66,4,9.63,2:14.58
3,9.33,,1,9.34,2:23.63,2,9.27,2:23.66,5,9.57,2:24.23,4,9.53,2:24.11
3,9.27,,1,9.23,2:32.86,2,9.35,2:33.01,5,9.60,2:33.83,4,9.62,2:33.73
3,9.27,,1,9.34,2:42.20,2,9.27,2:42.28,5,9.69,2:43.52,4,9.69,2:43.42
3,9.41,,1,9.47,2:51.661,2,9.48,2:51.742,4,10.17,2:53.670,3,10.05,2:53.437
