Anthony LOBELLO POSITION,Anthony LOBELLO LAP TIME,Anthony LOBELLO ELAPSED TIME,Roberto SERRA POSITION,Roberto SERRA LAP TIME,Roberto SERRA ELAPSED TIME,PARK Jin-Hwan POSITION,PARK Jin-Hwan LAP TIME,PARK Jin-Hwan ELAPSED TIME,LEPAPE Sebastien POSITION,LEPAPE Sebastien LAP TIME,LEPAPE Sebastien ELAPSED TIME
1,6.69,6.69,2,6.77,6.77,3,7.22,7.22,4,7.32,7.32
1,9.10,15.79,2,9.11,15.88,3,8.94,16.17,4,8.85,16.18
1,8.66,24.46,2,8.62,24.51,3,8.60,24.77,4,8.73,24.92
2,8.73,33.19,1,8.62,33.14,3,8.61,33.38,4,8.62,33.55
1,8.76,41.946,2,9.43,42.564,0,,DQ,3,26.07,59.613
