PENCHEVA Zornica POSITION,PENCHEVA Zornica LAP TIME,PENCHEVA Zornica ELAPSED TIME,WANG Xinyue POSITION,WANG Xinyue LAP TIME,WANG Xinyue ELAPSED TIME,LI Jianrou POSITION,LI Jianrou LAP TIME,LI Jianrou ELAPSED TIME,Agne SEREIKAITE POSITION,Agne SEREIKAITE LAP TIME,Agne SEREIKAITE ELAPSED TIME,Julia RIEDEL POSITION,Julia RIEDEL LAP TIME,Julia RIEDEL ELAPSED TIME
3,11.45,11.45,5,12.00,12.00,4,11.70,11.70,2,11.25,11.25,1,11.12,11.12
3,13.18,24.63,5,13.09,25.09,4,13.20,24.90,2,13.25,24.50,1,13.27,24.39
3,12.34,36.97,5,12.26,37.35,4,12.33,37.23,2,12.35,36.85,1,12.37,36.76
3,12.09,49.06,5,12.03,49.38,4,12.02,49.25,2,12.09,48.94,1,12.10,48.86
3,11.85,1:00.91,5,11.89,1:01.27,4,11.87,1:01.12,2,11.86,1:00.80,1,11.87,1:00.73
3,11.78,1:12.69,5,11.74,1:13.01,4,11.74,1:12.86,2,11.78,1:12.58,1,11.79,1:12.52
3,11.51,1:24.20,5,11.60,1:24.61,4,11.58,1:24.44,1,11.51,1:24.09,2,11.60,1:24.12
2,9.96,1:34.16,5,10.55,1:35.16,4,10.01,1:34.45,1,9.93,1:34.02,3,10.30,1:34.42
2,9.71,1:43.87,5,10.42,1:45.58,3,9.62,1:44.07,1,9.68,1:43.70,4,9.79,1:44.21
2,10.03,1:53.90,5,10.63,1:56.21,3,10.00,1:54.07,1,9.95,1:53.65,4,9.97,1:54.18
3,10.46,2:04.36,5,11.02,2:07.23,2,9.95,2:04.02,1,10.05,2:03.70,4,10.20,2:04.38
4,10.98,2:15.34,5,11.59,2:18.82,2,9.82,2:13.84,1,10.12,2:13.82,3,10.08,2:14.46
4,11.59,2:26.93,5,12.53,2:31.35,1,9.72,2:23.56,2,10.05,2:23.87,3,10.26,2:24.72
4,12.22,2:39.145,5,13.35,2:44.694,1,10.07,2:33.628,2,10.29,2:34.158,3,10.65,2:35.368
