Kinga KOVACS POSITION,Kinga KOVACS LAP TIME,Kinga KOVACS ELAPSED TIME,Elena PRIBYSH POSITION,Elena PRIBYSH LAP TIME,Elena PRIBYSH ELAPSED TIME,Erika HUSZAR POSITION,Erika HUSZAR LAP TIME,Erika HUSZAR ELAPSED TIME,Hyo-Jung KIM POSITION,Hyo-Jung KIM LAP TIME,Hyo-Jung KIM ELAPSED TIME,Francesca JACKSON POSITION,Francesca JACKSON LAP TIME,Francesca JACKSON ELAPSED TIME
3,8.349,8.349,2,8.314,8.314,1,8.300,8.300,5,9.273,9.273,4,8.878,8.878
1,11.608,19.956,2,11.654,19.968,3,11.852,20.151,5,11.128,20.401,4,11.364,20.241
2,11.289,31.245,3,11.351,31.318,1,11.086,31.237,4,11.078,31.478,5,11.301,31.542
2,11.481,42.726,3,11.475,42.792,1,11.488,42.725,5,11.752,43.230,4,11.539,43.081
1,11.747,54.473,2,11.775,54.567,3,11.951,54.675,4,11.522,54.751,5,11.695,54.775
2,11.723,1:06.195,3,11.742,1:06.308,1,11.478,1:06.152,5,11.863,1:06.614,4,11.688,1:06.463
3,11.130,1:17.325,2,11.004,1:17.311,1,10.844,1:16.996,4,10.976,1:17.589,5,11.222,1:17.684
2,10.602,1:27.926,3,10.747,1:28.058,1,10.771,1:27.767,4,10.548,1:28.137,5,11.162,1:28.846
3,10.974,1:38.900,4,11.145,1:39.203,2,10.864,1:38.630,1,10.386,1:38.523,5,11.225,1:40.070
3,10.966,1:49.865,5,21.479,2:00.681,2,10.517,1:49.147,1,10.477,1:49.000,4,11.386,1:51.456
3,11.367,2:01.232,5,28.930,2:29.611,2,10.973,2:00.120,1,10.866,1:59.865,4,12.076,2:03.531
3,11.891,2:13.122,5,18.656,2:48.266,2,11.084,2:11.204,1,10.903,2:10.767,4,12.377,2:15.908
3,12.388,2:25.510,5,16.838,3:05.104,2,11.804,2:23.007,1,11.228,2:21.995,4,12.596,2:28.503
3,13.09,2:38.593,5,16.59,3:21.688,2,12.67,2:35.670,1,11.74,2:33.726,4,12.86,2:41.356
