Jack WHELBOURNE POSITION,Jack WHELBOURNE LAP TIME,Jack WHELBOURNE ELAPSED TIME,BYKANOV Vladislav POSITION,BYKANOV Vladislav LAP TIME,BYKANOV Vladislav ELAPSED TIME,Fedor ANDREYEV POSITION,Fedor ANDREYEV LAP TIME,Fedor ANDREYEV ELAPSED TIME,Jeroen SONNEVELD POSITION,Jeroen SONNEVELD LAP TIME,Jeroen SONNEVELD ELAPSED TIME,Konrad NAGY POSITION,Konrad NAGY LAP TIME,Konrad NAGY ELAPSED TIME
4,8.71,8.71,2,8.54,8.54,5,8.85,8.85,1,8.10,8.10,3,8.56,8.56
4,10.49,19.20,3,10.53,19.07,5,10.46,19.31,1,10.32,18.42,2,10.29,18.85
4,9.74,28.94,3,9.75,28.82,5,9.75,29.06,1,10.04,28.46,2,9.82,28.67
4,9.96,38.90,3,9.96,38.78,5,9.94,39.00,1,10.05,38.51,2,9.94,38.61
4,10.12,49.02,3,10.07,48.85,5,10.11,49.11,1,10.11,48.62,2,10.11,48.72
4,10.20,59.22,3,10.24,59.09,5,10.21,59.32,1,10.32,58.94,2,10.31,59.03
4,10.32,1:09.54,3,10.32,1:09.41,5,10.32,1:09.64,1,10.27,1:09.21,2,10.26,1:09.29
4,10.22,1:19.76,3,10.14,1:19.55,5,10.27,1:19.91,1,10.23,1:19.44,2,10.24,1:19.53
4,9.86,1:29.62,2,9.82,1:29.37,5,9.80,1:29.71,1,9.78,1:29.22,3,9.94,1:29.47
4,9.52,1:39.14,2,9.56,1:38.93,5,9.58,1:39.29,1,9.56,1:38.78,3,9.55,1:39.02
4,9.53,1:48.67,2,9.52,1:48.45,5,9.54,1:48.83,1,9.56,1:48.34,3,9.53,1:48.55
3,9.36,1:58.03,2,9.53,1:57.98,5,9.55,1:58.38,1,9.57,1:57.91,4,9.61,1:58.16
1,9.21,2:07.24,2,9.39,2:07.37,5,9.66,2:08.04,3,9.65,2:07.56,4,9.60,2:07.76
1,9.41,2:16.648,2,9.34,2:16.705,5,9.90,2:17.940,3,9.69,2:17.242,4,9.64,2:17.398
