Haruna NAGAMORI POSITION,Haruna NAGAMORI LAP TIME,Haruna NAGAMORI ELAPSED TIME,HAO Weiying POSITION,HAO Weiying LAP TIME,HAO Weiying ELAPSED TIME,Anna JANSONE POSITION,Anna JANSONE LAP TIME,Anna JANSONE ELAPSED TIME,Holly HOYLAND POSITION,Holly HOYLAND LAP TIME,Holly HOYLAND ELAPSED TIME,FILIPOVA Lucia POSITION,FILIPOVA Lucia LAP TIME,FILIPOVA Lucia ELAPSED TIME,ECKSTEIN Lisa POSITION,ECKSTEIN Lisa LAP TIME,ECKSTEIN Lisa ELAPSED TIME,DUBROVA Uliana POSITION,DUBROVA Uliana LAP TIME,DUBROVA Uliana ELAPSED TIME
1,9.59,9.59,3,9.85,9.85,6,10.11,10.11,2,9.71,9.71,4,9.97,9.97,5,9.99,9.99,7,10.27,10.27
1,13.51,23.10,3,13.56,23.41,6,13.69,23.80,2,13.55,23.26,4,13.59,23.56,5,13.68,23.67,7,13.64,23.91
1,12.97,36.07,3,12.96,36.37,6,12.90,36.70,2,12.92,36.18,4,12.94,36.50,5,12.91,36.58,7,12.93,36.84
1,13.11,49.18,3,13.11,49.48,6,13.04,49.74,2,13.13,49.31,4,13.10,49.60,5,13.10,49.68,7,13.04,49.88
1,12.58,1:01.76,3,12.47,1:01.95,4,12.33,1:02.07,1,12.45,1:01.76,5,12.49,1:02.09,6,12.59,1:02.27,7,12.45,1:02.33
1,10.56,1:12.32,4,10.61,1:12.56,3,10.42,1:12.49,2,10.66,1:12.42,5,10.57,1:12.66,7,10.96,1:13.23,6,10.45,1:12.78
1,10.39,1:22.71,4,10.55,1:23.11,3,10.49,1:22.98,2,10.39,1:22.81,5,10.56,1:23.22,7,10.25,1:23.48,6,10.57,1:23.35
1,10.20,1:32.91,4,10.13,1:33.24,3,10.14,1:33.12,2,10.18,1:32.99,5,10.12,1:33.34,7,10.07,1:33.55,6,10.09,1:33.44
1,10.19,1:43.10,4,10.21,1:43.45,3,10.22,1:43.34,2,10.22,1:43.21,5,10.25,1:43.59,7,10.26,1:43.81,6,10.25,1:43.69
1,9.89,1:52.99,2,9.69,1:53.14,4,9.91,1:53.25,2,9.93,1:53.14,5,9.77,1:53.36,7,10.15,1:53.96,6,10.04,1:53.73
2,9.72,2:02.71,1,9.36,2:02.50,4,9.83,2:03.08,3,9.70,2:02.84,7,27.96,2:21.32,6,10.17,2:04.13,5,10.22,2:03.95
2,9.74,2:12.45,1,9.55,2:12.05,4,10.12,2:13.20,3,9.71,2:12.55,7,19.37,2:40.69,5,10.14,2:14.27,6,10.58,2:14.53
2,9.89,2:22.34,1,10.08,2:22.13,4,10.36,2:23.56,3,9.96,2:22.51,7,14.30,2:54.99,5,10.79,2:25.06,6,10.90,2:25.43
2,10.24,2:32.583,1,10.43,2:32.560,4,10.66,2:34.229,3,10.30,2:32.812,7,12.23,3:07.225,5,11.13,2:36.193,6,11.19,2:36.621
