Vladimir GRIGOREV POSITION,Vladimir GRIGOREV LAP TIME,Vladimir GRIGOREV ELAPSED TIME,Olivier JEAN POSITION,Olivier JEAN LAP TIME,Olivier JEAN ELAPSED TIME,Richard SHOEBRIDGE POSITION,Richard SHOEBRIDGE LAP TIME,Richard SHOEBRIDGE ELAPSED TIME,Jeremy MASSON POSITION,Jeremy MASSON LAP TIME,Jeremy MASSON ELAPSED TIME
1,7.04,7.04,2,7.17,7.17,4,7.30,7.30,3,7.21,7.21
1,9.23,16.27,2,9.19,16.36,4,9.29,16.59,3,9.25,16.46
1,8.85,25.12,2,8.83,25.19,4,8.74,25.33,3,8.80,25.26
2,8.86,33.98,1,8.77,33.96,3,9.18,34.51,4,9.44,34.70
2,9.11,43.086,1,8.97,42.929,3,9.36,43.870,0,,PEN
