LIM Yong Jin POSITION,LIM Yong Jin LAP TIME,LIM Yong Jin ELAPSED TIME,DESMET Stijn POSITION,DESMET Stijn LAP TIME,DESMET Stijn ELAPSED TIME,ZHAXYBAYEV Mersaid POSITION,ZHAXYBAYEV Mersaid LAP TIME,ZHAXYBAYEV Mersaid ELAPSED TIME,Roberts ZVEJNIEKS POSITION,Roberts ZVEJNIEKS LAP TIME,Roberts ZVEJNIEKS ELAPSED TIME
2,7.06,7.06,4,7.50,7.50,3,7.33,7.33,1,6.96,6.96
2,9.10,16.16,4,9.35,16.85,3,9.32,16.65,1,9.13,16.09
2,8.89,25.05,4,8.99,25.84,3,8.79,25.44,1,8.83,24.92
1,8.89,33.94,4,9.42,35.26,3,9.03,34.47,2,9.07,33.99
1,8.89,42.823,4,9.78,45.037,3,9.28,43.744,2,9.36,43.344
