Yoshiaki OGURO POSITION,Yoshiaki OGURO LAP TIME,Yoshiaki OGURO ELAPSED TIME,Freek van der WART POSITION,Freek van der WART LAP TIME,Freek van der WART ELAPSED TIME,Vladimir GRIGOREV POSITION,Vladimir GRIGOREV LAP TIME,Vladimir GRIGOREV ELAPSED TIME,Jordan MALONE POSITION,Jordan MALONE LAP TIME,Jordan MALONE ELAPSED TIME
1,12.69,12.69,2,12.78,12.78,4,12.94,12.94,3,12.88,12.88
2,10.09,22.78,4,10.07,22.85,3,9.89,22.83,1,9.76,22.64
3,9.52,32.30,4,9.57,32.42,1,9.19,32.02,2,9.57,32.21
3,9.20,41.50,4,9.20,41.62,1,9.29,41.31,2,9.19,41.40
3,9.34,50.84,4,9.31,50.93,1,9.31,50.62,2,9.33,50.73
4,9.54,1:00.38,3,9.14,1:00.07,1,9.23,59.85,2,9.22,59.95
4,9.26,1:09.64,2,9.27,1:09.34,1,9.24,1:09.09,3,9.53,1:09.48
4,9.42,1:19.06,2,9.27,1:18.61,1,9.37,1:18.46,3,9.52,1:19.00
4,10.04,1:29.095,2,9.63,1:28.231,1,9.65,1:28.105,3,9.77,1:28.762
