Yoshiaki OGURO POSITION,Yoshiaki OGURO LAP TIME,Yoshiaki OGURO ELAPSED TIME,Billy SIMMS POSITION,Billy SIMMS LAP TIME,Billy SIMMS ELAPSED TIME,Roberto PUKITIS POSITION,Roberto PUKITIS LAP TIME,Roberto PUKITIS ELAPSED TIME,Cole KRUEGER POSITION,Cole KRUEGER LAP TIME,Cole KRUEGER ELAPSED TIME
1,12.84,12.84,4,13.08,13.08,3,13.01,13.01,2,12.95,12.95
2,9.47,22.31,3,9.34,22.42,4,9.50,22.51,1,9.18,22.13
2,9.08,31.39,3,9.06,31.48,4,9.05,31.56,1,9.15,31.28
2,8.90,40.29,3,8.97,40.45,4,8.90,40.46,1,8.90,40.18
2,8.88,49.17,4,9.17,49.62,3,8.81,49.27,1,8.88,49.06
2,8.96,58.13,4,9.15,58.77,3,8.96,58.23,1,8.98,58.04
2,9.05,1:07.18,4,9.59,1:08.36,3,9.05,1:07.28,1,9.03,1:07.07
2,9.09,1:16.27,4,10.26,1:18.62,3,9.04,1:16.32,1,9.11,1:16.18
2,9.39,1:25.655,4,10.95,1:29.563,3,9.50,1:25.819,1,9.36,1:25.532
