BINEY Maame POSITION,BINEY Maame LAP TIME,BINEY Maame ELAPSED TIME,MONVOISIN Aurelie POSITION,MONVOISIN Aurelie LAP TIME,MONVOISIN Aurelie ELAPSED TIME,MALISZEWSKA Natalia POSITION,MALISZEWSKA Natalia LAP TIME,MALISZEWSKA Natalia ELAPSED TIME,ZAKHAROVA Evgeniya POSITION,ZAKHAROVA Evgeniya LAP TIME,ZAKHAROVA Evgeniya ELAPSED TIME,KIM Ye Jin POSITION,KIM Ye Jin LAP TIME,KIM Ye Jin ELAPSED TIME
1,7.13,7.13,3,7.48,7.48,2,7.27,7.27,4,7.63,7.63,5,7.76,7.76
1,9.21,16.34,3,9.13,16.61,2,9.16,16.43,4,9.24,16.87,5,9.23,16.99
2,8.69,25.03,3,8.57,25.18,1,8.58,25.01,4,8.54,25.41,5,8.57,25.56
3,8.98,34.01,2,8.63,33.81,1,8.68,33.69,4,8.66,34.07,5,8.79,34.35
3,9.00,43.01,2,8.94,42.75,1,8.98,42.67,4,9.10,43.178,5,9.04,43.398
