GONG Qiuwen POSITION,GONG Qiuwen LAP TIME,GONG Qiuwen ELAPSED TIME,Csaba BURJAN POSITION,Csaba BURJAN LAP TIME,Csaba BURJAN ELAPSED TIME,Viacheslav KURGINIAN POSITION,Viacheslav KURGINIAN LAP TIME,Viacheslav KURGINIAN ELAPSED TIME,Yuzo TAKAMIDO POSITION,Yuzo TAKAMIDO LAP TIME,Yuzo TAKAMIDO ELAPSED TIME
2,12.89,12.89,4,13.15,13.15,3,12.94,12.94,1,12.81,12.81
3,9.91,22.80,4,9.78,22.93,2,9.77,22.71,1,9.76,22.57
3,9.78,32.58,4,9.83,32.76,2,9.77,32.48,1,9.82,32.39
3,9.57,42.15,4,9.56,42.32,2,9.60,42.08,1,9.53,41.92
2,9.11,51.26,4,9.33,51.65,3,9.22,51.30,1,9.24,51.16
2,9.10,1:00.36,4,9.39,1:01.04,3,9.18,1:00.48,1,9.05,1:00.21
2,8.99,1:09.35,4,9.67,1:10.71,3,9.04,1:09.52,1,9.01,1:09.22
2,9.04,1:18.39,4,9.94,1:20.65,3,9.18,1:18.70,1,9.05,1:18.27
2,9.17,1:27.559,4,10.47,1:31.112,3,9.46,1:28.157,1,9.21,1:27.479
