CHOI Min Jeong POSITION,CHOI Min Jeong LAP TIME,CHOI Min Jeong ELAPSED TIME,LI Xuan POSITION,LI Xuan LAP TIME,LI Xuan ELAPSED TIME,DESMET Hanne POSITION,DESMET Hanne LAP TIME,DESMET Hanne ELAPSED TIME,SEJPALOVA-HRUZOVA Michaela POSITION,SEJPALOVA-HRUZOVA Michaela LAP TIME,SEJPALOVA-HRUZOVA Michaela ELAPSED TIME,HUOT MARCHAND Tifany POSITION,HUOT MARCHAND Tifany LAP TIME,HUOT MARCHAND Tifany ELAPSED TIME,MALAGICH Emina POSITION,MALAGICH Emina LAP TIME,MALAGICH Emina ELAPSED TIME,CHRISTIE Elise POSITION,CHRISTIE Elise LAP TIME,CHRISTIE Elise ELAPSED TIME
1,10.13,10.13,4,10.55,,7,11.04,11.04,5,10.61,10.61,2,10.29,10.29,3,10.44,10.44,6,10.87,10.87
3,14.49,24.62,1,13.80,,7,14.15,25.19,5,14.33,24.94,4,14.47,24.76,2,14.05,24.49,6,14.20,25.07
3,13.38,38.00,1,13.46,,7,13.28,38.47,6,13.32,38.26,4,13.36,38.12,2,13.41,37.90,5,13.08,38.15
2,13.17,51.17,1,13.27,,7,13.16,51.63,6,13.14,51.40,4,13.15,51.27,3,13.29,51.19,5,13.16,51.31
2,11.37,1:02.54,4,11.68,,7,11.46,1:03.09,1,10.99,1:02.39,3,11.38,1:02.65,5,11.68,1:02.87,6,11.66,1:02.97
5,11.09,1:13.63,1,10.50,,3,10.40,1:13.49,4,11.15,1:13.54,6,11.09,1:13.74,2,10.49,1:13.36,7,10.95,1:13.92
5,10.59,1:24.22,1,10.59,,3,10.49,1:23.98,4,10.56,1:24.10,6,10.59,1:24.33,2,10.61,1:23.97,7,10.54,1:24.46
5,10.01,1:34.23,3,10.10,,1,9.74,1:33.72,4,9.96,1:34.06,6,9.99,1:34.32,2,9.86,1:33.83,7,9.99,1:34.45
5,9.65,1:43.88,1,9.49,,2,9.84,1:43.56,4,9.69,1:43.75,6,9.65,1:43.97,3,9.82,1:43.65,7,9.67,1:44.12
5,9.59,1:53.47,1,9.68,,3,9.69,1:53.25,4,9.60,1:53.35,6,9.58,1:53.55,2,9.57,1:53.22,7,9.57,1:53.69
5,9.75,2:03.22,1,9.76,,3,9.82,2:03.07,4,9.84,2:03.19,6,9.75,2:03.30,2,9.75,2:02.97,7,9.63,2:03.32
1,9.04,2:12.26,7,27.30,,2,9.57,2:12.64,4,9.52,2:12.71,6,20.63,2:23.93,3,9.68,2:12.65,5,9.46,2:12.78
1,8.91,2:21.17,7,22.52,,2,9.45,2:22.09,4,9.63,2:22.34,6,18.21,2:42.14,5,9.99,2:22.64,3,9.47,2:22.25
1,9.29,2:30.460,7,13.32,,2,9.46,2:31.557,4,9.44,2:31.785,6,12.79,2:54.932,5,10.37,2:33.013,3,9.39,2:31.644
