Yui SAKAI POSITION,Yui SAKAI LAP TIME,Yui SAKAI ELAPSED TIME,van KERKHOF Yara POSITION,van KERKHOF Yara LAP TIME,van KERKHOF Yara ELAPSED TIME,Safiya VLASOVA POSITION,Safiya VLASOVA LAP TIME,Safiya VLASOVA ELAPSED TIME,Valerie MALTAIS POSITION,Valerie MALTAIS LAP TIME,Valerie MALTAIS ELAPSED TIME
2,12.53,12.53,1,12.45,12.45,4,12.82,12.82,3,12.66,12.66
1,9.81,22.34,2,9.90,22.35,4,9.86,22.68,3,9.87,22.53
1,9.35,31.69,2,9.45,31.80,4,9.39,32.07,3,9.38,31.91
1,9.44,41.13,2,9.44,41.24,4,9.46,41.53,3,9.42,41.33
1,9.39,50.52,2,9.37,50.61,4,9.49,51.02,3,9.36,50.69
1,9.54,1:00.06,2,9.54,1:00.15,4,9.69,1:00.71,3,9.52,1:00.21
2,9.77,1:09.83,3,9.78,1:09.93,4,10.08,1:10.79,1,9.38,1:09.59
2,9.93,1:19.76,3,9.96,1:19.89,4,10.60,1:21.39,1,9.49,1:19.08
2,10.07,1:29.824,3,10.09,1:29.980,4,11.11,1:32.495,1,9.70,1:28.771
