LIU Xianwei POSITION,LIU Xianwei LAP TIME,LIU Xianwei ELAPSED TIME,Maxime FORTIN POSITION,Maxime FORTIN LAP TIME,Maxime FORTIN ELAPSED TIME,WATANABE Keita POSITION,WATANABE Keita LAP TIME,WATANABE Keita ELAPSED TIME,Edoardo REGGIANI POSITION,Edoardo REGGIANI LAP TIME,Edoardo REGGIANI ELAPSED TIME
3,13.72,13.72,2,13.62,13.62,1,13.61,13.61,4,13.81,13.81
3,10.79,24.51,1,10.80,24.42,2,10.83,24.44,4,10.86,24.67
3,10.08,34.59,2,10.16,34.58,1,10.02,34.46,4,10.00,34.67
1,9.22,43.81,2,9.32,43.90,4,9.51,43.97,3,9.26,43.93
1,9.37,53.18,2,9.38,53.28,4,9.46,53.43,3,9.43,53.36
1,9.35,1:02.53,2,9.38,1:02.66,4,9.46,1:02.89,3,9.39,1:02.75
1,9.02,1:11.55,2,8.99,1:11.65,4,9.01,1:11.90,3,9.04,1:11.79
1,8.96,1:20.51,2,9.02,1:20.67,4,9.03,1:20.93,3,9.04,1:20.83
1,9.07,1:29.578,2,9.24,1:29.902,4,9.22,1:30.150,3,9.26,1:30.088
