Julie JUNG POSITION,Julie JUNG LAP TIME,Julie JUNG ELAPSED TIME,Raya ZAHARIEVA POSITION,Raya ZAHARIEVA LAP TIME,Raya ZAHARIEVA ELAPSED TIME,PIERRON Veronique POSITION,PIERRON Veronique LAP TIME,PIERRON Veronique ELAPSED TIME,CHRISTIE Elise POSITION,CHRISTIE Elise LAP TIME,CHRISTIE Elise ELAPSED TIME
4,7.89,7.89,2,7.65,7.65,1,7.35,7.35,3,7.80,7.80
4,9.88,17.77,3,10.10,17.75,1,9.77,17.12,2,9.82,17.62
3,9.21,26.98,4,9.81,27.56,1,9.51,26.63,2,9.16,26.78
3,9.34,36.32,4,9.91,37.47,2,9.55,36.18,1,9.31,36.09
3,9.41,45.721,4,10.18,47.642,2,9.41,45.585,1,9.40,45.488
