Paul STANLEY POSITION,Paul STANLEY LAP TIME,Paul STANLEY ELAPSED TIME,CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME,Jakub JAWORSKI POSITION,Jakub JAWORSKI LAP TIME,Jakub JAWORSKI ELAPSED TIME,Freek van der WART POSITION,Freek van der WART LAP TIME,Freek van der WART ELAPSED TIME
1,6.670,6.670,3,6.910,6.910,2,6.740,6.740,4,7.020,7.020
1,9.130,15.810,2,9.120,16.030,4,9.400,16.140,3,9.090,16.110
1,8.880,24.690,2,8.730,24.770,3,9.690,25.840,4,9.920,26.040
1,8.960,33.660,2,8.900,33.680,4,9.340,35.190,3,7.740,33.790
3,9.580,43.240,1,9.290,42.980,4,9.870,45.060,2,9.440,43.230
