Mariya IZAFATAVA POSITION,Mariya IZAFATAVA LAP TIME,Mariya IZAFATAVA ELAPSED TIME,Petra JASZAPATI POSITION,Petra JASZAPATI LAP TIME,Petra JASZAPATI ELAPSED TIME,Magdalena WARAKOMSKA POSITION,Magdalena WARAKOMSKA LAP TIME,Magdalena WARAKOMSKA ELAPSED TIME,UZAKOVA Mariia-Mahdalyna POSITION,UZAKOVA Mariia-Mahdalyna LAP TIME,UZAKOVA Mariia-Mahdalyna ELAPSED TIME
1,16.65,16.65,3,17.00,17.00,4,17.23,17.23,2,16.80,16.80
1,10.67,27.32,3,10.68,27.68,4,11.00,28.23,2,10.62,27.42
1,10.56,37.88,3,10.42,38.10,4,10.00,38.23,2,10.55,37.97
1,10.21,48.09,3,10.26,48.36,4,10.24,48.47,2,10.22,48.19
1,9.89,57.98,2,9.70,58.06,4,9.69,58.16,3,9.90,58.09
3,9.80,1:07.78,1,9.14,1:07.20,2,9.41,1:07.57,4,9.81,1:07.90
3,9.85,1:17.63,1,9.37,1:16.57,2,9.29,1:16.86,4,9.84,1:17.74
3,9.90,1:27.53,1,9.51,1:26.08,2,9.49,1:26.35,4,9.91,1:27.65
3,10.04,1:37.57,1,9.74,1:35.82,2,9.68,1:36.03,4,10.22,1:37.87
