Francois-Louis TREMBLAY POSITION,Francois-Louis TREMBLAY LAP TIME,Francois-Louis TREMBLAY ELAPSED TIME,Jon ELEY POSITION,Jon ELEY LAP TIME,Jon ELEY ELAPSED TIME,Niels KERSTHOLT POSITION,Niels KERSTHOLT LAP TIME,Niels KERSTHOLT ELAPSED TIME,Jeremy MASSON POSITION,Jeremy MASSON LAP TIME,Jeremy MASSON ELAPSED TIME
1,6.78,6.78,2,6.92,6.92,4,8.17,8.17,3,7.20,7.20
1,8.87,15.65,2,8.84,15.76,4,9.90,18.07,3,9.07,16.27
1,8.43,24.08,2,8.43,24.19,4,9.51,27.58,3,8.67,24.94
2,8.56,32.64,1,8.44,32.63,4,9.92,37.50,3,8.88,33.82
2,8.86,41.495,1,8.72,41.343,4,10.15,47.645,3,9.14,42.956
