RUSSIA POSITION,RUSSIA LAP TIME,RUSSIA ELAPSED TIME,UNITED STATES POSITION,UNITED STATES LAP TIME,UNITED STATES ELAPSED TIME,HUNGARY POSITION,HUNGARY LAP TIME,HUNGARY ELAPSED TIME,BELGIUM POSITION,BELGIUM LAP TIME,BELGIUM ELAPSED TIME
2,12.42,12.42,1,12.27,12.27,3,12.62,12.62,4,12.98,12.98
2,9.01,21.43,1,9.08,21.35,3,8.97,21.59,4,9.35,22.33
1,8.93,30.36,2,9.09,30.44,3,9.01,30.60,4,9.31,31.64
1,8.91,39.27,2,8.92,39.36,3,8.87,39.47,4,8.88,40.52
1,8.88,48.15,2,9.04,48.40,3,9.04,48.51,4,8.99,49.51
1,8.70,56.85,2,8.59,56.99,3,8.69,57.20,4,8.68,58.19
1,8.53,1:05.38,2,8.49,1:05.48,3,8.39,1:05.59,4,8.50,1:06.69
1,8.56,1:13.94,2,8.53,1:14.01,3,8.53,1:14.12,4,8.44,1:15.13
1,8.51,1:22.45,2,8.55,1:22.56,3,8.83,1:22.95,4,8.23,1:23.36
1,8.57,1:31.02,2,8.59,1:31.15,2,8.20,1:31.15,4,8.34,1:31.70
1,8.87,1:39.89,3,9.09,1:40.24,2,8.89,1:40.04,4,9.10,1:40.80
1,9.14,1:49.03,3,9.01,1:49.25,2,9.03,1:49.07,4,9.38,1:50.18
2,9.10,1:58.13,3,9.06,1:58.31,1,9.01,1:58.08,4,9.28,1:59.46
2,9.10,2:07.23,3,9.03,2:07.34,1,9.06,2:07.14,4,9.04,2:08.50
2,8.76,2:15.99,3,8.74,2:16.08,1,8.75,2:15.89,4,8.92,2:17.42
2,8.39,2:24.38,3,8.38,2:24.46,1,8.40,2:24.29,4,8.80,2:26.22
2,8.39,2:32.77,3,8.59,2:33.05,1,8.37,2:32.66,4,8.39,2:34.61
2,8.22,2:40.998,3,8.43,2:41.488,1,8.26,2:40.920,4,8.40,2:43.013
