Christin PRIEBST POSITION,Christin PRIEBST LAP TIME,Christin PRIEBST ELAPSED TIME,Vera ANTANENKA POSITION,Vera ANTANENKA LAP TIME,Vera ANTANENKA ELAPSED TIME,Lucia PERETTI POSITION,Lucia PERETTI LAP TIME,Lucia PERETTI ELAPSED TIME,Charlotte GILMARTIN POSITION,Charlotte GILMARTIN LAP TIME,Charlotte GILMARTIN ELAPSED TIME,Emily SCOTT POSITION,Emily SCOTT LAP TIME,Emily SCOTT ELAPSED TIME,Gergana PATSOVA POSITION,Gergana PATSOVA LAP TIME,Gergana PATSOVA ELAPSED TIME
4,9.46,9.46,6,9.59,9.59,1,9.30,9.30,2,9.32,9.32,5,9.49,9.49,3,9.45,9.45
3,12.83,22.29,4,12.81,22.40,1,12.74,22.04,2,12.84,22.16,6,13.03,22.52,5,12.96,22.41
4,12.09,34.38,1,11.61,34.01,3,12.21,34.25,2,11.97,34.13,6,12.08,34.60,5,12.10,34.51
4,11.65,46.03,1,11.67,45.68,3,11.66,45.91,2,11.69,45.82,6,11.67,46.27,5,11.67,46.18
3,11.26,57.29,2,11.48,57.16,4,11.38,57.29,1,11.32,57.14,6,11.37,57.64,5,11.31,57.49
3,10.71,1:08.00,1,10.55,1:07.71,4,10.81,1:08.10,2,10.78,1:07.92,6,10.66,1:08.30,5,10.73,1:08.22
3,10.23,1:18.23,1,10.26,1:17.97,4,10.22,1:18.32,2,10.23,1:18.15,6,10.25,1:18.55,5,10.24,1:18.46
3,10.10,1:28.33,1,10.16,1:28.13,4,10.08,1:28.40,2,10.07,1:28.22,6,10.12,1:28.67,5,10.14,1:28.60
3,10.35,1:38.68,1,10.26,1:38.39,4,10.37,1:38.77,2,10.36,1:38.58,6,10.29,1:38.96,5,10.29,1:38.89
3,10.18,1:48.86,1,10.26,1:48.65,4,10.22,1:48.99,2,10.15,1:48.73,6,10.24,1:49.20,5,10.20,1:49.09
3,10.29,1:59.15,2,10.42,1:59.07,4,10.33,1:59.32,1,10.28,1:59.01,5,10.14,1:59.34,6,10.42,1:59.51
3,10.22,2:09.37,4,10.38,2:09.45,5,10.26,2:09.58,1,10.16,2:09.17,2,9.91,2:09.25,6,10.68,2:10.19
3,10.22,2:19.59,4,10.53,2:19.98,5,10.66,2:20.24,1,10.15,2:19.32,2,10.16,2:19.41,6,11.10,2:21.29
3,10.32,2:29.902,4,11.00,2:30.979,5,11.28,2:31.518,1,10.47,2:29.785,2,10.47,2:29.872,6,11.64,2:32.926
