Jessica KOOREMAN POSITION,Jessica KOOREMAN LAP TIME,Jessica KOOREMAN ELAPSED TIME,PARK Seung-Hi POSITION,PARK Seung-Hi LAP TIME,PARK Seung-Hi ELAPSED TIME,Veronika WINDISCH POSITION,Veronika WINDISCH LAP TIME,Veronika WINDISCH ELAPSED TIME,Cecilia MAFFEI POSITION,Cecilia MAFFEI LAP TIME,Cecilia MAFFEI ELAPSED TIME,Jorien ter MORS POSITION,Jorien ter MORS LAP TIME,Jorien ter MORS ELAPSED TIME
1,8.00,8.00,3,8.26,8.26,5,8.52,8.52,4,8.32,8.32,2,8.13,8.13
1,11.19,19.19,3,11.18,19.44,5,11.10,19.62,4,11.18,19.50,2,11.18,19.31
1,11.66,30.85,4,11.64,31.08,5,11.65,31.27,3,11.58,31.08,2,11.65,30.96
3,11.85,42.70,4,11.74,42.82,2,11.33,42.60,5,11.77,42.85,1,11.64,42.60
2,10.64,53.34,4,10.78,53.60,3,10.83,53.43,5,10.80,53.65,1,10.73,53.33
1,10.58,1:03.92,3,10.48,1:04.08,4,10.69,1:04.12,5,10.61,1:04.26,2,10.69,1:04.02
2,10.33,1:14.25,1,10.11,1:14.19,4,10.33,1:14.45,5,10.23,1:14.49,3,10.33,1:14.35
1,10.36,1:24.61,2,10.43,1:24.62,4,10.46,1:24.91,5,10.54,1:25.03,3,10.43,1:24.78
3,10.28,1:34.89,1,10.06,1:34.68,4,10.07,1:34.98,5,9.99,1:35.02,2,9.99,1:34.77
2,9.99,1:44.88,1,10.09,1:44.77,4,10.15,1:45.13,5,10.18,1:45.20,3,10.31,1:45.08
2,9.94,1:54.82,1,9.96,1:54.73,4,9.93,1:55.06,5,9.96,1:55.16,3,9.85,1:54.93
2,9.89,2:04.71,1,9.85,2:04.58,4,9.89,2:04.95,5,9.89,2:05.05,3,9.89,2:04.82
2,9.85,2:14.56,1,9.82,2:14.40,4,9.84,2:14.79,5,9.90,2:14.95,3,9.79,2:14.61
2,10.01,2:24.568,1,9.98,2:24.379,4,10.10,2:24.881,5,10.09,2:25.033,3,10.19,2:24.798
