Tatiana BORODULINA POSITION,Tatiana BORODULINA LAP TIME,Tatiana BORODULINA ELAPSED TIME,WANG Xinyue POSITION,WANG Xinyue LAP TIME,WANG Xinyue ELAPSED TIME,Evgenia RADANOVA POSITION,Evgenia RADANOVA LAP TIME,Evgenia RADANOVA ELAPSED TIME,Allison BAVER POSITION,Allison BAVER LAP TIME,Allison BAVER ELAPSED TIME,LIU Qiuhong POSITION,LIU Qiuhong LAP TIME,LIU Qiuhong ELAPSED TIME,LEE Eun Byul POSITION,LEE Eun Byul LAP TIME,LEE Eun Byul ELAPSED TIME
1,11.90,11.90,2,12.09,12.09,3,12.25,12.25,4,12.42,12.42,5,12.59,12.59,6,12.76,12.76
1,18.68,30.58,2,18.69,30.78,3,18.69,30.94,4,18.69,31.11,5,18.75,31.34,6,18.73,31.49
2,16.58,47.16,3,16.48,47.26,4,16.43,47.37,1,16.04,47.15,5,16.14,47.48,6,16.13,47.62
4,13.74,1:00.90,5,13.79,1:01.05,6,13.81,1:01.18,3,13.70,1:00.85,1,13.26,1:00.74,2,13.16,1:00.78
4,11.32,1:12.22,5,11.31,1:12.36,6,11.30,1:12.48,1,11.00,1:11.85,3,11.35,1:12.09,2,11.18,1:11.96
4,11.43,1:23.65,5,11.41,1:23.77,6,11.37,1:23.85,1,11.50,1:23.35,3,11.44,1:23.53,2,11.50,1:23.46
4,11.96,1:35.61,5,11.95,1:35.72,6,11.99,1:35.84,1,11.90,1:35.25,3,11.92,1:35.45,2,11.90,1:35.36
4,10.28,1:45.89,5,10.34,1:46.06,6,10.34,1:46.18,3,10.49,1:45.74,2,10.21,1:45.66,1,10.29,1:45.65
4,9.62,1:55.51,5,9.55,1:55.61,6,9.56,1:55.74,3,9.66,1:55.40,1,9.60,1:55.26,2,9.69,1:55.34
4,9.67,2:05.18,5,9.78,2:05.39,6,9.70,2:05.44,3,9.67,2:05.07,2,9.66,2:04.92,1,9.47,2:04.81
4,9.42,2:14.60,6,10.05,2:15.44,5,9.57,2:15.01,3,9.49,2:14.56,2,9.60,2:14.52,1,9.67,2:14.48
2,9.58,2:24.18,6,9.71,2:25.15,5,9.47,2:24.48,3,9.70,2:24.26,4,9.82,2:24.34,1,9.57,2:24.05
2,9.76,2:33.94,6,10.07,2:35.22,5,9.98,2:34.46,3,10.00,2:34.26,4,10.02,2:34.36,1,9.78,2:33.83
2,9.92,2:43.854,6,10.37,2:45.585,5,10.07,2:44.524,3,9.99,2:44.241,4,9.99,2:44.350,1,9.94,2:43.768
